"de_para";"valor"
"Shopping Center Eldora";"comercio"
"Coco Bambu Conceito Jk";"alimentacao"
"Posto Estacao Carandir";"posto_gasolina"
"Eng Caetano Alvares";"comercio"
"Parcelamen Fatura 01/05";"parcelamentoi"
"Iof Parcelamento Fatura";"banco"
"Pg *ton Lemon Cake C";"alimentacao"
"Claudinea Carmen Antu";"pessoa"
"Centauro Ce 35    01/03";"roupa"
"Shopping Center Norte";"estacionamento"
"Dm          *spotify";"app"
"Djm Bazar Ltda    01/02";"comercio"
"Padaria E Confeitaria";"padaria"
"Pag*oggisorvetes";"sorvetes"
"Ponto Da Esf-ct";"alimentacao"
"Arizona Paes";"padaria"
"Restaurante Feijao No";"alimentacao"
"Berlinf*tuim-ct";"comercio"
"Pag*mjlcomerciode";"sodie"
"Panetteria Delicias Do";"alimentacao"
"Novo Pantera";"comercio"
"Arena Novo M-ct";"arena"
"Calcados Alfredo-l01/02";"calcados"
"Casa De Bolos Vl Sabri";"alimentacao"
"Brands";"comercio"
"Oxxo Novo Mundo";"mercado"
"Lanc E Salg Dona Ana";"alimentacao"
"Max Fama Modeling 07/12";"moda"
"Vent Vert Cn      06/06";"Vent Vert"
"R9 Parque Nov     03/03";"escola_futebol"
"Lojao Da Vil-ct   02/02";"loja_material"
"Ame*americanascom 03/04";"americanas"
"Hna*oboticar-ct   02/02";"boticario"
"Khelf-shop.t-ct Pe02/03";"roupa"
"Ame*americanascom";"americanas"
"Khelf-shop.t-ct Pe";"roupa"
"Centauro Sho-ct Tr02/02";"roupa"
"Parcelamen Fatura 02/05";"parcelamentoi"
"Centauro Ce 35";"roupa"
"Centauro Ce 35    02/03";"roupa"
"Djm Bazar Ltda    02/02";"comercio"
"Calcados Alfredo-l02/02";"calcados"
"Calcados Alfredo-lj 03";"calcados"
"Sr E Sra Unico Pasteis";"alimentacao"
"Galpao Gaucho Restaura";"alimentacao"
"Pag*allandia-ct";"comercio"
"Zaffari Pompeia";"alimentacao"
"Faz Master M Restauran";"alimentacao"
"Dl     *google Google";"google"
"Kalunga V. Guilherme";"kalunga"
"Arena F V Gu-ct Rme";"arena"
"Arena F V Guilherme";"arena"
"Drogasil3462";"farmacia"
"Paes E Doces-ct Rmosa";"padaria"
"Pag*mundomeddrogaria";"comercio"
"Julio Buono";"comercio"
"Lanc E Salg -ct  Ana";"alimentacao"
"Fernandinhos Kids 01/02";"comercio"
"Pag*vendas  -ct";"comercio"
"Pag*wmodas";"roupa"
"Pg *ton Gica-ct Re";"comercio"
"Dany Modas";"comercio"
"Rotisserie Castro Juni";"alimentacao"
"Fdi Fernao Dias Drive";"comercio"
"Pimentas Doce";"comercio"
"Sushi Tucuruvi";"alimentacao"
"Rei Do Oleo       01/02";"oleo"
"Conveniencia-ct";"comercio"
"Lojas Americ-ct  5324";"americanas"
"Matriz";"comercio"
"Ze Das Plantas";"comercio"
"Roselene Sidneia Alan";"pessoa"
"Real Brasil -ct Rtes";"escola_futebol"
"Chute Inicial Cori01/02";"ecola_futebol"
"Rs Avila    -ct";"mercado"
"Zagaia Eco-r*zaga 01/06";"hotel"
"Max Fama Modeling 08/12";"moda"
"Ame*americanascom 04/04";"americanas"
"Khelf-shop.t-ct Pe03/03";"roupa"
"Parcelamen Fatura 03/05";"parcelamentoi"
"Centauro Ce 35    03/03";"roupa"
"Fernandinhos Kids 02/02";"comercio"
"Rei Do Oleo       02/02";"troca_oleo"
"Chute Inicial Cori02/02";"ecola_futebol"
"Zagaia Eco-r*zaga 02/06";"hotel"
"Zagaia Eco-r*zaga";"hotel"
"Bagaggio She-ct Ag01/10";"mala_viagem"
"Artemis Comercio D01/03";"comercio"
"Hurley Guarulhos  01/03";"roupa"
"M Jarouche Comerci01/03";"comercio"
"Scribd Inc";"Scribd"
"Pernambucanas     01/02";"roupa"
"Uber   *uber   *trip";"uber"
"Mp *klmcentr-ct O 01/04";"comercio"
"Extrafarma Shoppin01/02";"farmacia"
"Aluguel           01/06";"localiza"
"Auto Posto T-ct Ca";"viagem_gasolina"
"Trucao Centro De Abast";"viagem_gasolina"
"Adm Abastece N Alvorad";"viagem_gasolina"
"Posto Tatinh-ct I";"viagem_gasolina"
"Valmir Silve-ct Varga";"pessoa"
"Mercado Aria-ct";"viagem_mercado"
"Boteco Juanita";"viagem"
"Crisval Agencia De01/04";"viagem"
"Palacio Dos Sorvetes";"sorvete"
"Boca Da Onca-ct Tour";"viagem"
"Posto Da Pon-ct";"viagem_gasolina"
"Auto Posto Entre Rios";"viagem_gasolina"
"Auto Posto Limoeiro";"viagem_gasolina"
"Hotel E Pous-ct Potosi";"viagem_hotel"
"Zagaia Eco-resort";"hotel"
"Ype Supermercado";"viagem_mercado"
"Rest Lanchon-ct Entre";"viagem"
"Posto De Servicos Auto";"viagem_gasolina"
"Localiza Rac Acbhz01/03";"localiza"
"Supermercado Supremo";"viagem_mercado"
"Disney Plus";"Disney"
"Localiza - Multas Tran";"localiza"
"Chute Inicial Cori01/04";"ecola_futebol"
"Max Fama Modeling 09/12";"moda"
"Parcelamen Fatura 04/05";"parcelamentoi"
"Zagaia Eco-r*zaga 03/06";"hotel"
"Artemis Comercio D02/03";"comercio"
"Hurley Guarulhos  02/03";"roupa"
"Hurley Guarulhos";"roupa"
"Bagaggio She-ct Ag02/10";"mala_viagem"
"M Jarouche Comerci02/03";"comercio"
"Bagaggio She-ct Aggio";"mala_viagem"
"Pernambucanas     02/02";"roupa"
"Mp *klmcentr-ct O 02/04";"comercio"
"Extrafarma Shopping Me";"farmacia"
"Extrafarma Shoppin02/02";"farmacia"
"Aluguel           02/06";"localiza"
"Crisval Agencia De02/04";"passeio_viagem"
"Localiza Rac Acbhz02/03";"localiza"
"Chute Inicial Cori02/04";"ecola_futebol"
"Max Fama Modeling 10/12";"moda"
"Mbs Modas Ltda    03/04";"roupa"
"Cea Scn 160 Ecpc  03/03";"roupa"
"Outlet Vila Maria 02/06";"roupa"
"Rdi Kids Modinha  02/03";"roupa"
"Sonda Supermercado02/02";"mercado"
"Rdi Kids Modinha";"roupa"
"Decathlon Lar Cent02/03";"roupa"
"Max Fama Modeling 02/12";"moda"
"Dorinhos - Loja 33 - V";"roupa"
"Rosa Store Ltda   02/02";"roupa"
"Dorinhos - Loja 3302/03";"roupa"
"Drogaria Sao Paulo02/03";"farmacia"
"Biscoite Vl -ct Pia";"comercio"
"Av Guapira";"lazer"
"Abastec*aai*ipiranga";"gasolina"
"Loja Vic    -ct   01/02";"comercio"
"Tatuape Sushi";"alimentacao"
"Ponto Da Esfiha";"alimentacao"
"Amazon.com.br Digital C";"app"
"Ame*americanascom 01/03";"americanas"
"Mercadopago*bancanovomu";"comercio"
"Tokio Marine*auto10d12";"carro"
"Gaguinho";"comercio"
"Pag*pasteldateru";"alimentacao"
"Brands            01/04";"comercio"
"Pag*niwsonyoshihide";"comercio"
"Arena Novo Mundo";"lazer"
"Posto Florid-ct";"gasolina"
"Lj 3009 Centernorte Sp";"comercio"
"Charles Dogs-ct";"alimentacao"
"Pag*saboresdomilho";"alimentacao"
"Pag*franciscoestrelad";"comercio"
"Hna*oboticario    01/04";"boticario"
"Santana";"comercio"
"Vent Vert Cn      01/06";"Vent Vert"
"Torra Torra -ct   01/02";"roupa"
"Roberto Vidal Card01/03";"pessoa"
"Starbucks";"alimentacao"
"Mercadopago*-ct Coceara";"comercio"
"Massas Italianas";"alimentacao"
"Pernil & Cia";"alimentacao"
"J A Rodrigues Bici01/02";"comercio"
"Rotiserie La Rome 01/02";"alimentacao"
"Paes E Doces Charmosa";"padaria"
"King Star Colchoes08/10";"colchï¿½o"
"Parcelamen Fatura  (05/05)";"parcelamentoi"
"Zagaia Eco-r*zaga  (04/06)";"hotel"
"Hurley Guarulhos   (03/03)";"roupa"
"Bagaggio She-ct Agg(03/10)";"mala_viagem"
"Crisval Agencia De (03/04)";"passeio_viagem"
"Localiza Rac Acbhz0(03/03)";"localiza"
"Chute Inicial Corin(03/04)";"ecola_futebol"
"Max Fama Modeling  (11/12)";"moda"
"Mbs Modas Ltda    04/04";"roupa"
"Outlet Vila Maria 03/06";"roupa"
"Rdi Kids Modinha  03/03";"roupa"
"Decathlon Lar Cent03/03";"roupa"
"Max Fama Modeling 03/12";"desfile"
"Dorinhos - Loja 3303/03";"roupa"
"Drogaria Sao Paulo03/03";"farmacia"
"Loja Vic    -ct   02/02";"comercio"
"Ame*americanascom 02/03";"americanas"
"Brands            02/04";"comercio"
"Hna*oboticario    02/04";"boticario"
"Roberto Vidal Cardoso";"pessoa"
"Torra Torra -ct   02/02";"roupa"
"Vent Vert Cn      02/06";"Vent Vert"
"Torra Torra -ct";"roupa"
"Vent Vert Cn";"Vent Vert"
"Roberto Vidal Card02/03";"pessoa"
"Rotiserie La Rome 02/02";"alimentacao"
"J A Rodrigues Bici02/02";"comercio"
"Atacadao 060-ct";"mercado"
"Carrefour Fvm";"mercado"
"Vila Guilherme";"comercio"
"Med Supermercado Ltda";"mercado"
"Drogaria Sao-ct Lo 194";"farmacia"
"Tokio Marine*auto11d12";"seguro"
"Rbm Supermer-ct  Ltda";"mercado"
"Mini Extra 5041 Pca N";"mercado"
"Oggi Sorvete-ct Unidad";"sorvetes"
"Raia 47           01/03";"farmacia"
"Auto Posto Casuarinas";"gasolina"
"Mini Extra 5-ct Pca N";"mercado"
"Kalunga V. Guilher01/02";"kalunga"
"Pag*pizzaria-ct Mundo";"alimentacao"
"Pag*realnovomundo";"padaria"
"Happy Kids";"roupa"
"Panetteria Novo Mundo";"alimentacao"
"Pag*djmvariedades";"comercio"
"Pag*padariac-ct Osa";"padaria"
"Aliado 2";"comercio"
"Franclau Comercio De";"comercio"
"Iof De Financiamento";"banco"
"Pag*pizzarianovomundo";"pizzaria"
"Amazon Marketplace01/02";"amazon"
"Pag*julianelimade";"pessoa"
"Mercadopago*espacoceara";"comercio"
"Paleteria Paulista Ltd";"alimentacao"
"Quitanda E M-ct Aria Pr";"comercio"
"Drogaria Vera Cruz01/03";"farmacia"
"Pag*allandiasdos";"pessoa"
"Encargos De Atraso";"comercio"
"Juros De Mora";"banco"
"Multa Por Atraso";"juros"
"Juros De Financiamento";"juros"
"King Star Colchoes09/10";"colchï¿½o"
"Outlet Vila Maria 04/06";"roupa"
"Max Fama Modeling 04/12";"moda"
"Ame*americanascom 03/03";"americanas"
"Brands            03/04";"comercio"
"Vent Vert Cn      03/06";"Vent Vert"
"Hna*oboticario    03/04";"boticario"
"Roberto Vidal Card03/03";"pessoa"
"Raia 47";"farmacia"
"Raia 47           02/03";"farmacia"
"Kalunga V. Guilher02/02";"kalunga"
"Amazon Marketplace02/02";"amazon"
"Amazon Marketplace";"amazon"
"Drogaria Vera Cruz";"farmacia"
"Drogaria Vera Cruz02/03";"farmacia"
"Jose Da Silva Carvalh";"pessoa"
"Lamour Cafe Prime Ltda";"alimentacao"
"Estapar*zad*sao*paulo";"estacionamento"
"Amazon.com.br Digital P";"amazon"
"Rei Do Oleo       01/03";"troca_oleo"
"Estancia Caipira Sp";"alimentacao"
"Localiza Rac Actie01/02";"localiza"
"Sapeka Kids";"roupa"
"3713 - Grsa Gr Pao De";"comercio"
"Auto Posto B-ct L";"posto"
"Localiza Rac Actie0";"localiza"
"Pag*xpressfoodbox";"alimentacao"
"Bruno Podero-ct Guila";"pessoa"
"Tokio Marine*auto12d12";"seguro"
"King Star Colchoes10/10";"colchao"
"Delight     -ct";"comercio"
"Rita De Sous-ct O De";"pessoa"
"Real Brasil Esportes";"escola_futebol"
"Canaa Lancho-ct  E Cas";"comercio"
"Frigomundo C-ct Cio De";"alimentacao"
"Magia Comercio Embalage";"comercio"
"Galpao Gaucho";"alimentacao"
"Rbm Supermercado Ltda";"mercado"
"Y Model           01/03";"comercio"
"Mbz Games   -ct";"comercio"
"Fc Empreendi-ct Os";"comercio"
"Espaco Livre-ct I";"comercio"
"Tatuape";"comercio"
"Zp          *sympl01/03";"ingresso"
"Pag*gueldoces";"comercio"
"Patati Patat-ct Rco Sho";"lazer"
"Sympla *igor Farias At";"comercio"
"Chiquinho So-ct Es";"sorvete"
"Sezefredo Fagundes";"comercio"
"Trupi Danubi-ct Ul";"comercio"
"Zagaia Eco-r*zaga  (06/06)";"hotel"
"Bagaggio She-ct Agg(05/10)";"mala_viagem"
"Aluguel            (05/06)";"localiza"
"Outlet Vila Maria 05/06";"roupa"
"Max Fama Modeling 05/12";"moda"
"Brands            04/04";"comercio"
"Hna*oboticario    04/04";"boticario"
"Vent Vert Cn      04/06";"Vent Vert"
"Raia 47           03/03";"farmacia"
"Drogaria Vera Cruz03/03";"farmacia"
"Rei Do Oleo       02/03";"troca_oleo"
"Localiza Rac Actie02/02";"localiza"
"Y Model           02/03";"comercio"
"Zp          *sympl02/03";"comercio"
"Centro Automotivo Pet";"comercioa"
"Mp*sushivilmaria";"comercio"
"Pag*pastelda-ct";"alimentacao"
"Marcelo Naok-ct Yan";"comercio"
"Chefinhos Pastelaria";"alimentacao"
"Carrefour Sp-ct";"mercado"
"Bp Crf Tiete-ct";"comercio"
"Netpark";"comercio"
"Pag*dlyrioco-ct Coes";"comercio"
"Kalunga Tatu-ct";"kalunga"
"Axe Brasil";"comercio"
"Roasted Pota-ct  Suco";"comercio"
"Bella Italia";"comercio"
"R9 Parque Nov     01/03";"escola_futebol"
"Ryma Mini Mercado E Pa";"comercio"
"Center Carnes Universa";"alimentacao"
"SABESP      3082129325";"sabesp"
"ELECTRONRS AVILA";"mercado"
"ELECTRONREAL BRASIL";"futebol"
"ELECTRONSUPERMERCAD";"mercado"
"ELECTRONPADARIA DEL";"padaria"
"ELECTRONPAG*Rosilen";"feira-alho"
"ELECTRONPONTO DA ES";"alimentacao"
"ELECTRONPAG*OrielPe";"feira-frutas"
"ELECTRONBABANAS VIT";"feira-frutas"
"ELECTRONPG *TON FEI";"feira-legumes"
"ELECTRONPAG*CassioA";"feira-tapioca"
"ELECTRONPAG*Robinso";"comercio"
"ELECTRONPAG*CarlosD";"comercio"
"ELECTRONBANCA DA MI";"comercio"
"DA  CLARO MOVEL 46827963";"claro"
"DA  CLARO MOVEL 46827990";"claro"
"Max Fama Modeling  (12/12)";"moda"
"Zagaia Eco-r*zaga  (05/06)";"hotel"
"Mp *klmcentr-ct O  (04/04)";"comercio"
"Aluguel            (04/06)";"localiza"
"Bagaggio She-ct Agg(04/10)";"mala_viagem"
"Chute Inicial Corin(04/04)";"ecola_futebol"
"Crisval Agencia De (04/04)";"passeio_viagem"
"TAR PACOTE ITAU   JUL/23";"banco"
"IOF";"Taxa_banco"
"MOBILEPAG TIT BANCO 237";"boleto"
"ELECTRONMAGAZINE DO";"comercio"
"PIX TRANSF  LUCIANO04/08";"alimentacao"
"ELECTRONROSE FEIRAN";"feira-frutas"
"CXE     004499 SAQUE";"saque"
"CXE 002162 SAQUE 05/08";"saque"
"ELECTRONFRIGOMUNDO";"frango"
"ELECTRONHIP BERGAMI";"mercado"
"ELECTRONPAG*Padaria";"padaria"
"PIX TRANSF  Matheus06/08";"feijoada"
"ELECTRONORIEL PEREI";"feira-frutas"
"PIX TRANSF  EDMILSO09/08";"churros"
"PIX TRANSF  erlonds09/08";"cabelereiro"
"SEGURO CARTAO";"banco"
"ELECTRONPANETTERIA";"alimentacao"
"PIX TRANSF  FGR COM11/08";"pix"
"DEB AUTOR UNICEF";"ajuda"
"ELECTRONATACADAO 06";"utensilios"
"PIX QRS ORION INSTI12/08";"roupa"
"ELECTRONPAG*SANDROC";"feira"
"INT ITAU VISA";"cartao"
"ELECTRONVALDENICIO";"pessoa"
"ELECTRONPAG*Antonie";"feira-pano"
"ELECTRONPAG*pasteld";"alimentacao"
"ELECTRONMARCELO NAO";"comercio"
"ELECTRONPAG*ALLANDI";"comercio"
"PIX TRANSF  IMW 3 R16/08";"igreja"
"PIX TRANSF  LUCIANO16/08";"alimentacao"
"DA  ELETROPAULO 11701161";"luz"
"ELECTRONPAG*GuelDoc";"comercio"
"ELECTRONPAG*Pizzari";"alimentacao"
"PIX TRANSF  LUCIANO18/08";"alimentacao"
"DA  NET SERVICOS 5680788";"net"
"PIX TRANSF  Matheus19/08";"feijoada"
"ELECTRONPAG*Rodrigo";"feira-ovos"
"ELECTRONPAG*VictorH";"alimentacao"
"ELECTRONROTISSERIE";"alimentacao"
"ELECTRONPAG*JoseAdr";"feira-frutas"
"ELECTRONPAG*Misslei";"feira-legumes"
"ELECTRONPERTO SA";"transporte"
"ELECTRON001";"comercio"
"PIX TRANSF  FGR COM22/08";"pix"
"DA  COMGAS 51448254";"gas"
"FINANC IMOBILIARIO   017";"financiamento"
"PIX TRANSF  EDMILSO24/08";"churros"
"ELECTRONDROGARIA SA";"farmacia"
"ELECTRONGALPAO GAUC";"alimentacao"
"PIX TRANSF  LUCIANO31/08";"alimentacao"
"INT  PAG TIT BANCO 237";"boleto"
"ELECTRONMINI EXTRA";"mercado"
"CXE 000653 SAQUE 08/04";"saque"
"PIX TRANSF  LUCIANO11/04";"pessoa"
"ELECTRONARLINDO VAL";"pessoa"
"PIX TRANSF  ABILIO 12/04";"pessoa"
"PIX TRANSF  LUCIANO12/04";"pessoa"
"PIX TRANSF  EDMILSO12/04";"churros"
"PIX TRANSF  ROGERIO12/04";"pipoca"
"CXE     000406 SAQUE";"saque"
"doce";"alimentacao"
"PIX TRANSF  LUCIANO17/04";"pessoa"
"ELECTRONPAG*Robinso";"frango"
"ELECTRONCALDO MANAB";"alimentacao"
"ELECTRONANTONIO CHI";"pessoa"
"PIX QRS PORTOSEG SA17/04";"seguro"
"ELECTRONARENA F V G";"futebol"
"PIX TRANSF  Michele17/04";"pessoa"
"PIX TRANSF  EDMILSO18/04";"churros"
"PIX TRANSF  ROGERIO19/04";"pipoca"
"APM - Creche Eloha";"creche"
"feira";"feira"
"oferta";"oferta"
"FINANC IMOBILIARIO   013";"financiamento"
"PIX TRANSF  Monica 21/04";"pessoa"
"PIX TRANSF  LUCIANO25/04";"pessoa"
"PIX TRANSF  JULIANE25/04";"pessoa"
"PIX TRANSF  REAL BR26/04";"futebol"
"PIX TRANSF  EDMILSO27/04";"churros"
"PIX TRANSF  ANDRE N27/04";"transferencia"
"PIX TRANSF  ANDRE N28/04";"transferencia"
"PIX TRANSF  ANDRE N30/11";"transferencia"
"PIX TRANSF  ROGERIO27/04";"pipoca"
"PIX TRANSF  Bruno C28/04";"pessoa"
"PIX TRANSF  TAMINIE28/04";"pessoa"
"estacionamento";"estacionamento"
"PIX TRANSF  EDMILSO02/05";"churros"
"TAR PACOTE ITAU   ABR/23";"banco"
"PIX TRANSF  IMW 3 R04/05";"igreja"
"JUROS LIMITE DA CONTA";"juros"
"ELECTRONPAG*Rodrigo";"feira"
"ELECTRONBANANAS CLI";"alimentacao"
"PIX TRANSF  EDMILSO08/05";"churros"
"PIX TRANSF  erlonds09/05";"cabeleireiro"
"PIX TRANSF  LUCIANO09/05";"futebol"
"PIX TRANSF  ROGERIO09/05";"pipoca"
"PIX TRANSF  IMW 3 R11/05";"igreja"
"PIX TRANSF  LUCIANO12/05";"alimentacao"
"PIX TRANSF  LUCIANO13/05";"alimentacao"
"ELECTRONPAG*LUCASVI";"feira-frutas"
"ELECTRONPAG*Robinso";"feira"
"PIX TRANSF  REAL BR15/05";"futebol"
"ELECTRONMP*MANOEL";"pessoa"
"ELECTRONCLEVENICE F";"consumo"
"ELECTRONPAG*Misslei";"feira"
"PIX QRS LOJA ELECTR17/05";"pix comercio"
"PIX TRANSF  EDMILSO18/05";"churros"
"PIX QRS PORTOSEG SA18/05";"portoseguro"
"SAQUE 24H 821097573";"saque"
"ELECTRONARENA NOVO";"quadra"
"ELECTRONPAG*Rosilen";"pessoa"
"ELECTRONCARREFOUR B";"mercado"
"PIX TRANSF  IMW 3 R20/05";"igreja"
"ELECTRONPAG*LuizaDe";"pessoa"
"ELECTRONORIEL PEREI";"feira"
"ELECTRONPG *TON FEI";"feira"
"ELECTRONTHIEMI HORT";"feira-ovos"
"INT SIMPLES NACIONA 0708";"boleto"
"FINANC IMOBILIARIO   014";"financiamento"
"PIX QRS SHPP B I P 24/05";"pix web"
"PIX QRS Pizzaria No26/05";"alimentacao"
"ELECTRONS L BENFICA";"alimentacao"
"PIX TRANSF  ALINE B29/05";"pessoa"
"CXE 000836 SAQUE 27/05";"saque"
"TAR PACOTE ITAU   MAI/23";"banco"
"PIX TRANSF  Mayara 02/06";"pipoca"
"PIX TRANSF  erlonds02/06";"cabeleireiro"
"PIX TRANSF  ROGERIO05/06";"pipoca"
"PIX TRANSF  JULIANE03/06";"pessoa"
"PIX TRANSF  IMW 3 R04/06";"igreja"
"PIX TRANSF  Cristia04/06";"pessoa"
"PIX TRANSF  PIZZARI03/06";"alimentacao"
"ELECTRONRENATO GOME";"pessoa"
"ELECTRONPAG*Doceria";"consumo"
"PIX TRANSF  LUCIANO08/06";"futebol"
"PIX TRANSF  EDMILSO12/06";"churros"
"PIX QRS ARENA FUTEB10/06";"futebol"
"PIX QRS Shopee12/06";"shopee"
"ELECTRONMP*ALEXFRUT";"feira"
"PIX TRANSF  JADIEL 10/06";"pessoa"
"ELECTRONPAG*CarlosD";"pessoa"
"PIX TRANSF  REAL BR13/06";"futebol"
"SAQUE 24H 116870093";"saque"
"PIX TRANSF  LUCIANO14/06";"alimentacao"
"PIX TRANSF  IMW 3 R16/06";"igreja"
"ELECTRONPAG*Marinal";"pessoa"
"ELECTRONJOSE RUBIVA";"pessoa"
"ELECTRONDJM BAZAR L";"comercio"
"PIX QRS SHPP B I P 20/06";"pix web"
"PIX TRANSF  ROGERIO21/06";"pipoca"
"FINANC IMOBILIARIO   015";"financiamento"
"ELECTRONMAIK GUSHI";"pessoa"
"PIX TRANSF  IMW 3 R25/06";"igreja"
"PIX TRANSF  Matheus24/06";"alimentacao"
"ELECTRONGEORGE S TO";"pessoa"
"PIX TRANSF  LUCIANO24/06";"futebol"
"PIX QRS PORTOSEG SA27/06";"portoseguro"
"PIX TRANSF  erlonds27/06";"cabeleireiro"
"PIX TRANSF  LUCIANO27/06";"alimentacao"
"PIX TRANSF  EDMILSO28/06";"churros"
"PIX TRANSF  Matheus01/07";"alimentacao"
"PIX TRANSF  IMW 3 R01/07";"igreja"
"ELECTRONMATRIZ";"lazer"
"ELECTRONBOX CAR";"comercio"
"ELECTRONGABRIELA PO";"pessoa"
"PIX TRANSF  NIRLEY 02/07";"futebol"
"TAR PACOTE ITAU   JUN/23";"banco"
"INT IPVA-SP HOH-6396";"multa"
"PIX QRS Drogaria Sa06/07";"farmacia"
"PIX TRANSF  Crisval06/07";"viagem"
"PIX TRANSF  IMW 3 R07/07";"igreja"
"ELECTRON001";"mercado"
"ELECTRONJULIO BUONO";"comercio"
"ELECTRONLUIZ ANTONI";"alimentacao"
"PIX TRANSF  LUCIANO07/07";"futebol"
"PIX TRANSF  REAL BR07/07";"futebol"
"ELECTRONLANCHONETE";"alimentacao"
"PIX TRANSF  Matheus08/07";"alimentacao"
"ELECTRONPAG*WmgEsta";"pessoa"
"ELECTRONOGGI SORVET";"alimentacao"
"ELECTRONPAG*Arqueni";"pessoa"
"ELECTRONPAG*Antonio";"pessoa"
"ELECTRONPAG*Claudio";"feira"
"ELECTRONOXXO NOVO M";"mercado"
"ELECTRONPLAYSIZE";"roupa"
"ELECTRONMISSLEINE M";"feira"
"PIX TRANSF  CLAUDIO08/07";"viagem"
"PIX TRANSF  Paola O11/07";"pessoa"
"PIX QRS AMERICANAS 12/07";"americanas"
"ELECTRONINTERNACION";"shopping"
"ELECTRONPERNAMBUCAN";"pernambucanas"
"ELECTRONNEO GEO FAM";"lazer"
"ELECTRONGUARULHOS S";"consumo"
"ELECTRONSILVIO NAKA";"pessoa"
"ELECTRONBANANA SPLI";"alimentacao"
"ELECTRONHOSP H9J VA";"alimentacao"
"ELECTRONSALGADO E A";"alimentacao"
"ELECTRONMAY BUSTANI";"comercio"
"PIX TRANSF  LUCIANO13/07";"alimentacao"
"PIX QRS PAGSMILE14/07";"investimento"
"ELECTRONREI DO OLEO";"carro"
"ELECTRONCHURRASCARI";"alimentacao"
"ELECTRONTALISMA CAS";"comercio"
"ELECTRONROZILAINE S";"feira"
"ELECTRONMCB COMERCI";"comercio"
"ELECTRONLEO COSMETI";"comercio"
