"de_para";"valor"
"Drogaria Promofarm02/02";"farmacia"
"Cea Tam 330 -ct";"roupa"
"Cea Tam 330 -ct   02/02";"roupa"
"Localiza Rac Mtzal0";"localiza"
"Localiza Rac Mtzal02/02";"localiza"
"Hip.bergamini Lj 202/02";"mercado"
"Hip.bergamini Lj 2";"mercado"
"Localiza+         02/02";"localiza"
"Localiza+";"localiza"
"Rs Avila";"mercado"
"Amazon Prime Aluguel";"amazon"
"Dl*google Google";"google"
"Rs Avila";"mercado"
"Pag*padariacharmosa";"padaria"
"Amazon Prime Canais";"amazon"
"IOF - transa��o internacional";"banco"
"Scribd Inc";"livro"
"Centauro Sho-ct Tr01/02";"roupa"
"Hna*oboticar-ct   01/02";"boticario"
"Lojas Americ-ct  101";"americanas"
"Khelf-shop.t-ct Pe01/03";"roupa"
"Bacio Dilate Apos 10hr";"comercio"
"Ame*americanasloja";"americanas"
"Ame*americanascom 01/02";"americanas"
"Mp *espacoce-ct";"comercio"
"Banca Da Michele";"comercio"
"Estacionamen-ct Rena 7";"estacionamento"
"Shopping Center Eldora";"comercio"
"Coco Bambu Conceito Jk";"alimentacao"
"Posto Estacao Carandir";"posto_gasolina"
"Eng Caetano Alvares";"comercio"
"Supermercado Precito";"mercado"
"Rs Avila";"mercado"
"Parcelamen Fatura 01/05";"parcelamentoi"
"Produtos Globo";"globo"
"Padaria Delicias Do P";"padaria"
"Abastec*abastece Ai";"gasolina"
"Iof Parcelamento Fatura";"banco"
"Conectcar   *conectcar";"conectar"
"Pg *ton Lemon Cake C";"alimentacao"
"Padaria Deli-ct  Do P";"padaria"
"Hip.bergamini Lj 2";"mercado"
"Claudinea Carmen Antu";"pessoa"
"Netflix.com";"netflix"
"Centauro Ce 35    01/03";"roupa"
"Shopping Center Norte";"estacionamento"
"Dm          *spotify";"app"
"Djm Bazar Ltda    01/02";"comercio"
"Disney Plus";"app"
"Padaria E Confeitaria";"padaria"
"Pag*oggisorvetes";"sorvetes"
"Ponto Da Esf-ct";"alimentacao"
"Arizona Paes";"padaria"
"Restaurante Feijao No";"alimentacao"
"Berlinf*tuim-ct";"comercio"
"Arizona Paes";"padaria"
"Pag*mjlcomerciode";"sodie"
"Rs Avila";"mercado"
"Hip.bergamini Lj 201/02";"mercado"
"Rs Avila";"mercado"
"Panetteria Delicias Do";"alimentacao"
"Dl*google Cloud";"google"
"Novo Pantera";"comercio"
"Rs Avila";"mercado"
"Padaria Deli-ct  Do P";"padaria"
"Padaria Delicias Do P";"padaria"
"Abastec*abastece Ai";"gasolina"
"Posto Servco-ct Nca";"carro"
"Arena Novo M-ct";"arena"
"Amazonprimebr";"amazon"
"Calcados Alfredo-l01/02";"calcados"
"Casa De Bolos Vl Sabri";"alimentacao"
"Brands";"comercio"
"Padaria Delicias Do P";"padaria"
"Rs Avila";"mercado"
"Oxxo Novo Mundo";"mercado"
"Lanc E Salg Dona Ana";"alimentacao"
"Ponto Da Esf-ct";"alimentacao"
"Max Fama Modeling 07/12";"moda"
"Vent Vert Cn      06/06";"Vent Vert"
"R9 Parque Nov     03/03";"escola_futebol"
"Lojao Da Vil-ct   02/02";"loja_material"
"Ame*americanascom 03/04";"americanas"
"Hna*oboticar-ct   02/02";"boticario"
"Khelf-shop.t-ct Pe02/03";"roupa"
"Ame*americanascom 02/02";"americanas"
"Ame*americanascom";"americanas"
"Khelf-shop.t-ct Pe";"roupa"
"Centauro Sho-ct Tr02/02";"roupa"
"Parcelamen Fatura 02/05";"parcelamentoi"
"Centauro Ce 35";"roupa"
"Centauro Ce 35    02/03";"roupa"
"Djm Bazar Ltda    02/02";"comercio"
"Hip.bergamini Lj 202/02";"mercado"
"Calcados Alfredo-l02/02";"calcados"
"Calcados Alfredo-lj 03";"calcados"
"Sr E Sra Unico Pasteis";"alimentacao"
"Arizona Paes";"padaria"
"Galpao Gaucho Restaura";"alimentacao"
"Oggi Sorvetes - Unidad";"sorvetes"
"Hip.bergamini Lj 201/02";"mercado"
"Pag*allandia-ct";"comercio"
"Zaffari Pompeia";"alimentacao"
"Faz Master M Restauran";"alimentacao"
"Dl     *google Google";"google"
"Atacadao 060 As";"mercado"
"Kalunga V. Guilherme";"kalunga"
"Conectcar   *conectcar";"conectar"
"Arena F V Gu-ct Rme";"arena"
"Arena F V Guilherme";"arena"
"Atacadao 060 As";"mercado"
"Drogasil3462";"farmacia"
"Paes E Doces-ct Rmosa";"padaria"
"Pag*mundomeddrogaria";"comercio"
"Scribd Inc";"livro"
"Amazon Prime Canais";"amazon"
"IOF - transa��o internacional";"banco"
"Julio Buono";"comercio"
"Padaria Delicias Do P";"padaria"
"Drogaria Sao Paulo 194";"farmacia"
"Hip.bergamini Lj 201/02";"mercado"
"Lanc E Salg -ct  Ana";"alimentacao"
"Lanc E Salg -ct  Ana";"alimentacao"
"Ponto Da Esf-ct";"alimentacao"
"Fernandinhos Kids 01/02";"comercio"
"Pag*vendas  -ct";"comercio"
"Pag*wmodas";"roupa"
"Pg *ton Gica-ct Re";"comercio"
"Dany Modas";"comercio"
"Rotisserie Castro Juni";"alimentacao"
"Produtos Globo";"globo"
"Posto Servconfianca";"gasolina"
"Paes E Doces-ct Rmosa";"padaria"
"Netflix.com";"netflix"
"Hip.bergamini Lj 201/02";"mercado"
"Rs Avila";"mercado"
"Amazon Prime Aluguel";"amazon"
"Dm*spotify";"spotify"
"Hip.bergamini Lj 2";"mercado"
"Disney Plus";"app"
"Fdi Fernao Dias Drive";"comercio"
"Pimentas Doce";"comercio"
"Rs Avila";"mercado"
"Pag*mjlcomerciode";"sodie"
"Sushi Tucuruvi";"alimentacao"
"Amazon Prime Canais";"amazon"
"Rs Avila";"mercado"
"Rei Do Oleo       01/02";"oleo"
"Frigomundo Comercio De";"frango"
"Hip.bergamini Lj 2";"mercado"
"Padaria Delicias Do P";"padaria"
"Conveniencia-ct";"comercio"
"Lojas Americ-ct  5324";"americanas"
"Matriz";"comercio"
"Ze Das Plantas";"comercio"
"Dl*google Cloud";"google"
"Matriz";"comercio"
"Roselene Sidneia Alan";"pessoa"
"Panetteria Delicias Do";"alimentacao"
"Real Brasil -ct Rtes";"escola_futebol"
"Frigomundo Comercio De";"frango"
"Rs Avila";"mercado"
"Rs Avila";"mercado"
"Chute Inicial Cori01/02";"ecola_futebol"
"Amazonprimebr";"amazon"
"Lanc E Salg Dona Ana";"alimentacao"
"Oxxo Novo Mundo";"mercado"
"Rs Avila    -ct";"mercado"
"Panetteria Delicias Do";"alimentacao"
"Drogaria Sao Paulo 194";"farmacia"
"Zagaia Eco-r*zaga 01/06";"hotel"
"Abastec*abastece Ai";"gasolina"
"Max Fama Modeling 08/12";"moda"
"Ame*americanascom 04/04";"americanas"
"Khelf-shop.t-ct Pe03/03";"roupa"
"Parcelamen Fatura 03/05";"parcelamentoi"
"Centauro Ce 35    03/03";"roupa"
"Hip.bergamini Lj 202/02";"mercado"
"Hip.bergamini Lj 202/02";"mercado"
"Fernandinhos Kids 02/02";"comercio"
"Hip.bergamini Lj 2";"mercado"
"Hip.bergamini Lj 202/02";"mercado"
"Rei Do Oleo       02/02";"troca_oleo"
"Chute Inicial Cori02/02";"ecola_futebol"
"Zagaia Eco-r*zaga 02/06";"hotel"
"Zagaia Eco-r*zaga";"hotel"
"Bagaggio She-ct Ag01/10";"mala_viagem"
"Artemis Comercio D01/03";"comercio"
"Dl     *google Google";"google"
"Hurley Guarulhos  01/03";"roupa"
"M Jarouche Comerci01/03";"comercio"
"Scribd Inc";"Scribd"
"IOF - transa��o internacional";"banco"
"Pernambucanas     01/02";"roupa"
"Amazon Prime Canais";"amazon"
"Conectcar   *conectcar";"conectar"
"Uber   *uber   *trip";"uber"
"Mp *klmcentr-ct O 01/04";"comercio"
"Extrafarma Shoppin01/02";"farmacia"
"Aluguel           01/06";"localiza"
"Auto Posto T-ct Ca";"viagem_gasolina"
"Trucao Centro De Abast";"viagem_gasolina"
"Adm Abastece N Alvorad";"viagem_gasolina"
"Posto Tatinh-ct I";"viagem_gasolina"
"Valmir Silve-ct Varga";"pessoa"
"Mercado Aria-ct";"viagem_mercado"
"Boteco Juanita";"viagem"
"Crisval Agencia De01/04";"viagem"
"Produtos Globo";"globo"
"Palacio Dos Sorvetes";"sorvete"
"Boca Da Onca-ct Tour";"viagem"
"Posto Da Pon-ct";"viagem_gasolina"
"Posto Tatinh-ct I";"viagem_gasolina"
"Netflix.com";"netflix"
"Auto Posto Entre Rios";"viagem_gasolina"
"Auto Posto Limoeiro";"viagem_gasolina"
"Hotel E Pous-ct Potosi";"viagem_hotel"
"Zagaia Eco-resort";"hotel"
"Ype Supermercado";"viagem_mercado"
"Rest Lanchon-ct Entre";"viagem"
"Posto De Servicos Auto";"viagem_gasolina"
"Localiza Rac Acbhz01/03";"localiza"
"Supermercado Supremo";"viagem_mercado"
"Conectcar   *conectcar";"conectar"
"Rs Avila    -ct";"mercado"
"Padaria Deli-ct  Do P";"padaria"
"Rs Avila";"mercado"
"Dm*spotify";"spotify"
"Disney Plus";"Disney"
"Padaria Delicias Do P";"padaria"
"Localiza - Multas Tran";"localiza"
"Amazon Prime Canais";"amazon"
"Ponto Da Esf-ct";"alimentacao"
"Abastec*abastece Ai";"gasolina"
"Chute Inicial Cori01/04";"ecola_futebol"
"Dl*google Cloud";"google"
"Amazonprimebr";"amazon"
"Max Fama Modeling 09/12";"moda"
"Parcelamen Fatura 04/05";"parcelamentoi"
"Zagaia Eco-r*zaga 03/06";"hotel"
"Artemis Comercio D02/03";"comercio"
"Hurley Guarulhos  02/03";"roupa"
"Hurley Guarulhos";"roupa"
"Bagaggio She-ct Ag02/10";"mala_viagem"
"M Jarouche Comerci02/03";"comercio"
"Bagaggio She-ct Aggio";"mala_viagem"
"Pernambucanas     02/02";"roupa"
"Mp *klmcentr-ct O 02/04";"comercio"
"Extrafarma Shopping Me";"farmacia"
"Extrafarma Shoppin02/02";"farmacia"
"Aluguel           02/06";"localiza"
"Crisval Agencia De02/04";"passeio_viagem"
"Localiza Rac Acbhz02/03";"localiza"
"Chute Inicial Cori02/04";"ecola_futebol"
"Max Fama Modeling 10/12";"moda"
"Amazon Prime Aluguel";"amazon"
"Dl*google Google";"google"
"Scribd Inc";"Scribd"
"Amazon Prime Canais";"amazon"
"Uber   *uber   *trip";"uber"
"Localiza - Multas Tran";"localiza"
"Produtos Globo";"globo"
"Uber   *uber   *trip";"uber"
"Netflix.com";"netflix"
"Disney Plus";"Disney"
"Dm          *spotify";"app"
"Abastec*abastece Ai";"gasolina"
"Amazon Prime Canais";"amazon"
"Mbs Modas Ltda    03/04";"roupa"
"Cea Scn 160 Ecpc  03/03";"roupa"
"Outlet Vila Maria 02/06";"roupa"
"Rdi Kids Modinha  02/03";"roupa"
"Sonda Supermercado02/02";"mercado"
"Rdi Kids Modinha";"roupa"
"Decathlon Lar Cent02/03";"roupa"
"Max Fama Modeling 02/12";"moda"
"Hip.bergamini Lj 202/02";"mercado"
"Dorinhos - Loja 33 - V";"roupa"
"Rosa Store Ltda   02/02";"roupa"
"Dorinhos - Loja 3302/03";"roupa"
"Drogaria Sao Paulo02/03";"farmacia"
"Supermercado Precito";"mercado"
"Supermercado Precito";"mercado"
"Biscoite Vl -ct Pia";"comercio"
"Rs Avila";"mercado"
"Av Guapira";"lazer"
"Abastec*aai*ipiranga";"gasolina"
"Rs Avila";"mercado"
"Drogasil3462";"farmacia"
"Loja Vic    -ct   01/02";"comercio"
"Tatuape Sushi";"alimentacao"
"Ponto Da Esfiha";"alimentacao"
"Supermercado Precito";"mercado"
"IOF - transa��o internacional";"banco"
"Scribd Inc";"livro"
"Rs Avila";"mercado"
"Amazon.com.br Digital C";"app"
"Ame*americanascom 01/03";"americanas"
"Mercadopago*bancanovomu";"comercio"
"Mercadopago*bancanovomu";"comercio"
"Drogaria Sao Paulo 194";"farmacia"
"Ame*americanascom 01/03";"americanas"
"Paes E Doces-ct Rmosa";"padaria"
"Tokio Marine*auto10d12";"carro"
"Rs Avila";"mercado"
"Supermercado Precito";"mercado"
"Supermercado Precito";"mercado"
"Padaria E Confeitaria";"padaria"
"Ponto Da Esfiha";"alimentacao"
"Gaguinho";"comercio"
"Pag*pasteldateru";"alimentacao"
"Pag*padariacharmosa";"padaria"
"Casa De Bolos Vl Sabri";"alimentacao"
"Brands            01/04";"comercio"
"Pag*niwsonyoshihide";"comercio"
"Arena Novo Mundo";"lazer"
"Posto Florid-ct";"gasolina"
"Hip.bergamini Lj 201/02";"mercado"
"Netflix.com";"netflix"
"Arena Novo M-ct";"arena"
"Lj 3009 Centernorte Sp";"comercio"
"Conectcar   *conectcar";"conectar"
"Charles Dogs-ct";"alimentacao"
"Hip.bergamini Lj 201/02";"mercado"
"Dl*google Google";"google"
"Pag*saboresdomilho";"alimentacao"
"Rs Avila    -ct";"mercado"
"Pag*franciscoestrelad";"comercio"
"Hna*oboticario    01/04";"boticario"
"Hip.bergamini Lj 201/02";"mercado"
"Santana";"comercio"
"Vent Vert Cn      01/06";"Vent Vert"
"Torra Torra -ct   01/02";"roupa"
"Roberto Vidal Card01/03";"pessoa"
"Santana";"comercio"
"Starbucks";"alimentacao"
"Disney Plus";"app"
"Produtos Globo";"globo"
"Dm          *spotify";"app"
"Padaria E Confeitaria";"padaria"
"Mercadopago*-ct Coceara";"comercio"
"Massas Italianas";"alimentacao"
"Pernil & Cia";"alimentacao"
"J A Rodrigues Bici01/02";"comercio"
"Pag*padariacharmosa";"padaria"
"Rotiserie La Rome 01/02";"alimentacao"
"Hip.bergamini Lj 201/02";"mercado"
"Abastec*aai*ipiranga";"gasolina"
"Mercadopago*-ct Coceara";"comercio"
"Supermercado Precito";"mercado"
"Paes E Doces Charmosa";"padaria"
"Supermercado Precito";"mercado"
"Amazonprimebr";"amazon"
"Rs Avila";"mercado"
"King Star Colchoes08/10";"colch�o"
"Parcelamen Fatura  (05/05)";"parcelamentoi"
"Zagaia Eco-r*zaga  (04/06)";"hotel"
"Hurley Guarulhos   (03/03)";"roupa"
"Bagaggio She-ct Agg(03/10)";"mala_viagem"
"Crisval Agencia De (03/04)";"passeio_viagem"
"Localiza Rac Acbhz0(03/03)";"localiza"
"Chute Inicial Corin(03/04)";"ecola_futebol"
"Max Fama Modeling  (11/12)";"moda"
"Mbs Modas Ltda    04/04";"roupa"
"Outlet Vila Maria 03/06";"roupa"
"Rdi Kids Modinha  03/03";"roupa"
"Decathlon Lar Cent03/03";"roupa"
"Max Fama Modeling 03/12";"desfile"
"Dorinhos - Loja 3303/03";"roupa"
"Drogaria Sao Paulo03/03";"farmacia"
"Loja Vic    -ct   02/02";"comercio"
"Ame*americanascom";"americanas"
"Ame*americanascom 02/03";"americanas"
"Ame*americanascom 02/03";"americanas"
"Ame*americanascom";"americanas"
"Brands";"comercio"
"Brands            02/04";"comercio"
"Hip.bergamini Lj 202/02";"mercado"
"Hip.bergamini Lj 202/02";"mercado"
"Hip.bergamini Lj 2";"mercado"
"Hna*oboticario    02/04";"boticario"
"Roberto Vidal Cardoso";"pessoa"
"Hip.bergamini Lj 2";"mercado"
"Hip.bergamini Lj 202/02";"mercado"
"Torra Torra -ct   02/02";"roupa"
"Vent Vert Cn      02/06";"Vent Vert"
"Torra Torra -ct";"roupa"
"Vent Vert Cn";"Vent Vert"
"Roberto Vidal Card02/03";"pessoa"
"Rotiserie La Rome 02/02";"alimentacao"
"J A Rodrigues Bici02/02";"comercio"
"Hip.bergamini Lj 202/02";"mercado"
"Hip.bergamini Lj 2";"mercado"
"Hip.bergamini Lj 201/02";"mercado"
"Atacadao 060-ct";"mercado"
"Abastec*abastece Ai";"gasolina"
"Carrefour Fvm";"mercado"
"Rs Avila";"mercado"
"Atacadao 060 As";"mercado"
"Arizona Paes";"padaria"
"Vila Guilherme";"comercio"
"Med Supermercado Ltda";"mercado"
"Drogaria Sao-ct Lo 194";"farmacia"
"Tokio Marine*auto11d12";"seguro"
"Rbm Supermer-ct  Ltda";"mercado"
"IOF - transa��o internacional";"banco"
"Mini Extra 5041 Pca N";"mercado"
"Scribd Inc";"livro"
"Frigomundo Comercio De";"frango"
"Supermercado Precito";"mercado"
"Supermercado Precito";"mercado"
"Amazon.com.br Digital C";"app"
"Oggi Sorvete-ct Unidad";"sorvetes"
"Raia 47           01/03";"farmacia"
"Arizona Paes";"padaria"
"Auto Posto Casuarinas";"gasolina"
"Arizona Paes";"padaria"
"Uber   *uber   *trip";"uber"
"Mini Extra 5-ct Pca N";"mercado"
"Frigomundo Comercio De";"frango"
"Mini Extra 5041 Pca N";"mercado"
"Uber   *uber   *trip";"uber"
"Drogaria Sao Paulo 194";"farmacia"
"Mini Extra 5041 Pca N";"mercado"
"Pag*padariacharmosa";"padaria"
"Kalunga V. Guilher01/02";"kalunga"
"Mini Extra 5041 Pca N";"mercado"
"Rs Avila";"mercado"
"Rs Avila";"mercado"
"Atacadao 060 As";"mercado"
"Pag*padariacharmosa";"padaria"
"Atacadao 060 As";"mercado"
"Pag*pizzaria-ct Mundo";"alimentacao"
"Drogaria Sao Paulo 194";"farmacia"
"Mercadopago*-ct Coceara";"comercio"
"Hip.bergamini Lj 2";"mercado"
"Hip.bergamini Lj 201/02";"mercado"
"Pag*realnovomundo";"padaria"
"Netflix.com";"netflix"
"Mini Extra 5041 Pca N";"mercado"
"Pag*padariacharmosa";"padaria"
"Dl*google Google";"google"
"Happy Kids";"roupa"
"Rs Avila";"mercado"
"Disney Plus";"app"
"Produtos Globo";"globo"
"Dm*spotify";"spotify"
"Atacadao 060 As";"mercado"
"Panetteria Novo Mundo";"alimentacao"
"Atacadao 060 As";"mercado"
"Drogaria Sao Paulo 194";"farmacia"
"Pag*djmvariedades";"comercio"
"Mini Extra 5041 Pca N";"mercado"
"Abastec*abastece Ai";"gasolina"
"Pag*padariac-ct Osa";"padaria"
"Aliado 2";"comercio"
"Franclau Comercio De";"comercio"
"Hip.bergamini Lj 2";"mercado"
"Iof De Financiamento";"banco"
"Ame*americanascom";"americanas"
"Ame*americanascom";"americanas"
"Mini Extra 5041 Pca N";"mercado"
"Pag*pizzarianovomundo";"pizzaria"
"Mini Extra 5041 Pca N";"mercado"
"Ponto Da Esf-ct";"alimentacao"
"Amazon Marketplace01/02";"amazon"
"Pag*julianelimade";"pessoa"
"Mercadopago*espacoceara";"comercio"
"Paleteria Paulista Ltd";"alimentacao"
"Quitanda E M-ct Aria Pr";"comercio"
"Mini Extra 5-ct Pca N";"mercado"
"Paleteria Paulista Ltd";"alimentacao"
"Drogaria Vera Cruz01/03";"farmacia"
"Pag*allandiasdos";"pessoa"
"Pag*allandiasdos";"pessoa"
"Frigomundo Comercio De";"frango"
"Mini Extra 5041 Pca N";"mercado"
"Frigomundo Comercio De";"frango"
"Mini Extra 5041 Pca N";"mercado"
"Encargos De Atraso";"comercio"
"Juros De Mora";"banco"
"Multa Por Atraso";"juros"
"Juros De Financiamento";"juros"
"King Star Colchoes09/10";"colch�o"
"Outlet Vila Maria 04/06";"roupa"
"Max Fama Modeling 04/12";"moda"
"Ame*americanascom 03/03";"americanas"
"Ame*americanascom 03/03";"americanas"
"Brands            03/04";"comercio"
"Vent Vert Cn      03/06";"Vent Vert"
"Hna*oboticario    03/04";"boticario"
"Roberto Vidal Card03/03";"pessoa"
"Hip.bergamini Lj 202/02";"mercado"
"Raia 47";"farmacia"
"Raia 47           02/03";"farmacia"
"Kalunga V. Guilher02/02";"kalunga"
"Hip.bergamini Lj 202/02";"mercado"
"Amazon Marketplace02/02";"amazon"
"Amazon Marketplace";"amazon"
"Drogaria Vera Cruz";"farmacia"
"Drogaria Vera Cruz02/03";"farmacia"
"Jose Da Silva Carvalh";"pessoa"
"Lamour Cafe Prime Ltda";"alimentacao"
"Dl*google Google";"google"
"Estapar*zad*sao*paulo";"estacionamento"
"Abastec*abastece Ai";"gasolina"
"Amazon.com.br Digital P";"amazon"
"Drogaria Sao Paulo 194";"farmacia"
"Rei Do Oleo       01/03";"troca_oleo"
"Mini Extra 5041 Pca N";"mercado"
"Supermercado Precito";"mercado"
"Oxxo Novo Mundo";"mercado"
"Estancia Caipira Sp";"alimentacao"
"Pag*mjlcomerciode";"sodie"
"Localiza Rac Actie01/02";"localiza"
"Sapeka Kids";"roupa"
"3713 - Grsa Gr Pao De";"comercio"
"Ponto Da Esfiha";"alimentacao"
"Auto Posto B-ct L";"posto"
"Auto Posto B-ct L";"posto"
"Scribd Inc";"livro"
"IOF - transa��o internacional";"banco"
"Arizona Paes";"padaria"
"Localiza Rac Actie0";"localiza"
"Pag*xpressfoodbox";"alimentacao"
"Supermercado Precito";"mercado"
"Bruno Podero-ct Guila";"pessoa"
"Amazon.com.br Digital C";"app"
"Tokio Marine*auto12d12";"seguro"
"King Star Colchoes10/10";"colchao"
"Delight     -ct";"comercio"
"Rita De Sous-ct O De";"pessoa"
"Hip.bergamini Lj 201/02";"mercado"
"Real Brasil -ct Rtes";"escola_futebol"
"Arizona Paes";"padaria"
"Real Brasil Esportes";"escola_futebol"
"Canaa Lancho-ct  E Cas";"comercio"
"Abastec*abastece Ai";"gasolina"
"Pag*padariacharmosa";"padaria"
"Netflix.com";"netflix"
"Hip.bergamini Lj 201/02";"mercado"
"Hip.bergamini Lj 201/02";"mercado"
"Frigomundo C-ct Cio De";"alimentacao"
"Mini Extra 5-ct Pca N";"mercado"
"Magia Comercio Embalage";"comercio"
"Rs Avila";"mercado"
"Produtos Globo";"globo"
"Ame*americanascom";"americanas"
"Disney Plus";"app"
"Dm          *spotify";"app"
"Ponto Da Esf-ct";"alimentacao"
"Real Brasil -ct Rtes";"escola_futebol"
"Real Brasil -ct Rtes";"escola_futebol"
"Galpao Gaucho";"alimentacao"
"Rbm Supermercado Ltda";"mercado"
"Panetteria Novo Mundo";"alimentacao"
"Bruno Podero-ct Guila";"pessoa"
"Y Model           01/03";"comercio"
"Hip.bergamini Lj 201/02";"mercado"
"Dl*google Cloud";"google"
"Mbz Games   -ct";"comercio"
"Mbz Games   -ct";"comercio"
"Iof De Financiamento";"banco"
"Oggi Sorvetes - Unidad";"sorvetes"
"Pag*padariacharmosa";"padaria"
"Fc Empreendi-ct Os";"comercio"
"Espaco Livre-ct I";"comercio"
"Abastec*abastece Ai";"gasolina"
"Estapar*zad*sao*paulo";"estacionamento"
"Tatuape";"comercio"
"Zp          *sympl01/03";"ingresso"
"Pag*gueldoces";"comercio"
"Patati Patat-ct Rco Sho";"lazer"
"Sympla *igor Farias At";"comercio"
"Chiquinho So-ct Es";"sorvete"
"Chiquinho So-ct Es";"sorvete"
"Chiquinho So-ct Es";"sorvete"
"Sezefredo Fagundes";"comercio"
"Trupi Danubi-ct Ul";"comercio"
"Amazonprimebr";"amazon"
"Bruno Podero-ct Guila";"pessoa"
"Multa Por Atraso";"juros"
"Encargos De Atraso";"comercio"
"Juros De Financiamento";"juros"
"Juros De Mora";"banco"
"Zagaia Eco-r*zaga  (06/06)";"hotel"
"Bagaggio She-ct Agg(05/10)";"mala_viagem"
"Aluguel            (05/06)";"localiza"
"Outlet Vila Maria 05/06";"roupa"
"Max Fama Modeling 05/12";"moda"
"Brands            04/04";"comercio"
"Hna*oboticario    04/04";"boticario"
"Vent Vert Cn      04/06";"Vent Vert"
"Raia 47           03/03";"farmacia"
"Amazonprimebr";"amazon"
"Drogaria Vera Cruz03/03";"farmacia"
"Rei Do Oleo       02/03";"troca_oleo"
"Localiza Rac Actie02/02";"localiza"
"Hip.bergamini Lj 202/02";"mercado"
"Hip.bergamini Lj 202/02";"mercado"
"Hip.bergamini Lj 2";"mercado"
"Hip.bergamini Lj 2";"mercado"
"Hip.bergamini Lj 202/02";"mercado"
"Y Model           02/03";"comercio"
"Hip.bergamini Lj 202/02";"mercado"
"Zp          *sympl02/03";"comercio"
"Mini Extra 5041 Pca N";"mercado"
"Pag*allandia-ct";"comercio"
"Pag*padariacharmosa";"padaria"
"Kalunga V. Guilherme";"kalunga"
"Arena F V Guilherme";"arena"
"Centro Automotivo Pet";"comercioa"
"Supermercado Precito";"mercado"
"Mp*sushivilmaria";"comercio"
"Dl*google Google";"google"
"Pag*pastelda-ct";"alimentacao"
"Atacadao 060 As";"mercado"
"Atacadao 060 As";"mercado"
"Rs Avila";"mercado"
"Marcelo Naok-ct Yan";"comercio"
"Rs Avila";"mercado"
