"de_para";"valor"
"Torra Torra";"roupa"
"Torra Torra       02/03";"roupa"
"Imw 3 R Vila Medeiros";"igreja"
"Rs Avila";"mercado"
"Mini Extra 5041 Pca N";"mercado"
"Supermercado Precito";"mercado"
"Pag*padariacharmosa";"padaria"
"Pag*padariac-ct Osa";"padaria"
"Paes E Doces-ct Rmosa";"padaria"
"Red Fitness Ourin 07/12";"academia"
"Academia Corpo E  02/02";"academia"
"King Star Colchoes02/10";"colch�o"
"Drogaria Sao Paulo 194";"farmacia"
"Hsh*farmacom";"farmacia"
"Auto Servico-ct Lly L";"servi�o"
"Lojas Americanas 802/03";"americanas"
"Ame Digital       08/12";"americanas"
"Ame Digital       08/10";"americanas"
"Americanas";"americanas"
"Americanas        01/02";"americanas"
"Lanchonete C-ct Lo No";"alimentacao"
"Monster Food-ct Ck";"alimentacao"
"Starbucks Br-ct  Comer";"alimentacao"
"Coco Bambu Conceito Jk";"alimentacao"
"Localiza Rac Actie02/03";"aluguel_carro"
"Estac Shop Eldorado";"estacionamento"
"Red Fitness Ourin  (12/12)";"academia"
"KING STAR COLCHOES (07/10)";"colch�o"
"Ame Digital        (12/12)";"americanas"
"Red Fitness Ourin  (11/12)";"academia"
"KING STAR COLCHOES (06/10)";"colch�o"
"Auto Posto Lutaif 03/03";"carro"
"Posto Florida";"carro"
"Auto Socorro-ct Ia01/06";"carro"
"Olibone Pneus     01/06";"carro"
"Posto De Servicos Flor";"carro"
"Pag*frigotti";"frango"
"Supermercado Bergamini";"mercado"
"Padaria E Confeitaria";"padaria"
"Red Fitness Ourin 04/12";"academia"
"Academia Corpo E  03/03";"academia"
"Promofarma";"farmacia"
"Promofarma        01/03";"farmacia"
"Mercadocar";"carro"
"Microsoft_subscription";"microsoft"
"Ame Digital       05/12";"americanas"
"Ame Digital       05/10";"americanas"
"Lojas Americanas 753";"americanas"
"Lojas Americanas 834";"americanas"
"Bauducco          04/05";"alimentacao"
"Cf Restaurante";"alimentacao"
"Dl     *google Google";"google"
"Zoom.us 888-799-9666";"zoom"
"Sodimac";"obra"
"Auto Socorro-ct Iar Ei";"carro"
"Auto Socorro-ct Ia02/06";"carro"
"Tokiomarine*auto02d12";"carro"
"Auto Posto L-ct F";"carro"
"Auto Posto Tremembe";"carro"
"Berlinf*m S -ct";"carro"
"Av Guapira";"lazer"
"Amazon.com.br Digital A";"amazon"
"Dl     *google Cloud N";"google"
"Sonda Supermercado01/02";"mercado"
"Red Fitness Ourin 05/12";"academia"
"Sua Academia";"academia"
"Academia Cor-ct   01/02";"academia"
"Promofarma        02/03";"farmacia"
"Drogaria Sao Carlos";"farmacia"
"Pag*drogariamoller";"farmacia"
"Ame Digital       06/12";"americanas"
"Ame Digital       06/10";"americanas"
"Ame Digital       01/02";"americanas"
"Bauducco          05/05";"alimentacao"
"Meu Chapa Ba-ct Grill";"alimentacao"
"Ifood       *ifood";"alimentacao"
"Rede Papa";"carro"
"Auto Posto Lutaif 01/03";"carro"
"Playland - Center 01/02";"lazer"
"Lojas Renner Fl 1302/03";"roupa"
"Lojas Renner Fl 133";"roupa"
"Torra Torra -ct   02/03";"roupa"
"Cea Scn 160       02/03";"roupa"
"Cea Scn 160";"roupa"
"Dl*googlegoogles";"google"
"IOF - transa��o internacional";"Taxa_banco"
"Grao Espresso Trimais";"mercado"
"Red Fitness Ourin 02/12";"academia"
"Academia Corpo E  01/03";"academia"
"Drogaria Promofarm02/02";"farmacia"
"Ame Digital       03/12";"americanas"
"Ame Digital       03/10";"americanas"
"Magazine Tor-ct Or02/03";"utensilios"
"Magazine Tor-ct Orra";"utensilios"
"Restaurante E Lanchone";"alimentacao"
"Acai Alemar Norte Ltd";"alimentacao"
"V A Espeto E Comercio";"alimentacao"
"Empada Cafe E L Me";"alimentacao"
"Cea Scn 160       01/03";"cea"
"Berlinf*m S H";"carro"
"Posto M G M E";"carro"
"Ingresso.com";"lazer"
"Lojas Renner Fl 1301/03";"roupa"
"Torra Torra -ct   01/03";"roupa"
"Red Fitness Ourin 01/12";"academia"
"Conectcar   *conectcar";"conectar"
"Drogaria Promofarm01/02";"farmacia"
"Promofarma  -ct";"farmacia"
"Riachuelo 100     02/03";"riachuelo"
"Ame Digital       04/04";"americanas"
"Ame Digital       02/12";"americanas"
"Ame Digital       02/10";"americanas"
"Magazine Tor-ct Or01/03";"utensilios"
"Meu Chapa Bar & Grill";"alimentacao"
"Pasteis Sonoda";"alimentacao"
"Ame Digital        (11/12)";"americanas"
"Red Fitness Ourin  (10/12)";"academia"
"KING STAR COLCHOES (05/10)";"colch�o"
"Rei Do Oleo       01/02";"oleo"
"Uber        *trip";"uber"
"Tokiomarine*auto05d12";"carro"
"Posto Servco-ct Nca";"carro"
"Auto Socorro-ct Ia05/06";"carro"
"Olibone Pneus     05/06";"carro"
"Pag*leroymerlin   03/03";"leroy"
"Torra Torra       03/03";"roupa"
"Amazon.com.br Digital P";"amazon"
"Red Fitness Ourin 08/12";"academia"
"King Star Colchoes03/10";"colch�o"
"Lojas Americanas 803/03";"americanas"
"Ame Digital       09/12";"americanas"
"Ame Digital       09/10";"americanas"
"Americanas        02/02";"americanas"
"Parc=102americanas01/02";"americanas"
"Localiza Rac Actie03/03";"aluguel_carro"
"Uber* Trip";"uber"
"Auto Posto Lutaif 02/03";"carro"
"Posto Jacana";"carro"
"Playland - Center 02/02";"lazer"
"Sesc Interlagos";"lazer"
"Lojas Renner Fl 1303/03";"roupa"
"Torra Torra -ct   03/03";"roupa"
"Cea Scn 160       03/03";"roupa"
"Amazon Video";"amazon"
"Google Storage";"google"
"Carrefour Xmt";"mercado"
"Ourinhos";"mercado"
"Panificadora Valparaiz";"padaria"
"Red Fitness Ourin 03/12";"academia"
"Academia Corpo E  02/03";"academia"
"Drogasil 1934";"farmacia"
"Ame Digital       04/12";"americanas"
"Ame Digital       04/10";"americanas"
"Magazine Tor-ct Or03/03";"utensilios"
"Bauducco          03/05";"alimentacao"
"Rei Do Oleo (02/02)";"oleo"
"Auto Socorro-ct Iar(06/06)";"carro"
"Olibone Pneus      (06/06)";"carro"
"Red Fitness Ourin  (09/12)";"academia"
"King Star Colchoes (04/10)";"colch�o"
"Ame Digital        (10/12)";"americanas"
"Ame Digital        (10/10)";"americanas"
"Parc=102americanas02/02";"americanas"
"Uber *trip Help.uber.co";"uber"
"Uber Jump Help.uber.com";"uber"
"Uber * Pending";"uber"
"iof";"Taxa_banco"
"Posto Vila Mazzei";"carro"
"Aai         *ipiranga";"carro"
"Rodoposto Rubi Ltda";"carro"
"Shell";"carro"
"Posto De Serv Dieselma";"carro"
"Aai         *aai*";"carro"
"Posto Agulhas Negras";"carro"
"Auto Posto Amalfi Ltda";"carro"
"Uto Posto Edu        S";"carro"
"Posto De Servicos Avan";"carro"
"Posto Amma";"carro"
"Pag*supertrocadeol02/03";"carro"
"Playland - Center Nort";"lazer"
"Riachuelo 100     02/02";"roupa"
"Brooksfield-bfcn-f02/03";"roupa"
"Brooksfield-bfcn-f03/03";"roupa"
"Brooksfield-bfcn-fl.10";"roupa"
"Amazonprimebr";"amazon"
"The Walt Disney Company";"disney"
"Dl     *google Cloud_0";"google"
"Parc=103thermas Do03/03";"passeio"
"Sonda Jacana";"mercado"
"Mini Mercado Tucuruvi";"mercado"
"Sonda Jacana      01/02";"mercado"
"Supermercado Berga01/02";"mercado"
"Soneda Perfumaria";"mercado"
"Trimais Supermerca01/02";"mercado"
"Trimais Supermercados";"mercado"
"Sonda Jacana      02/02";"mercado"
"Supermercado Berga02/02";"mercado"
"Trimais Supermerca02/02";"mercado"
"Trimais Ii  -ct   02/02";"mercado"
"Trimais Ii  -ct   01/02";"mercado"
"Microsoft*microsoft 365";"ondrive"
"Arizona Paes E Doces";"padaria"
"Rizona Paes E Doces";"padaria"
"Parc=112dieta E Sa11/12";"parcela"
"Parc=112dieta E Sa12/12";"parcela"
"Pousada Recanto Da01/02";"passeio"
"Pousada Recanto Da02/02";"passeio"
"Parc=103thermas Dos Lar";"passeio"
"Parc=103thermas Do01/03";"passeio"
"Parc=103thermas Do02/03";"passeio"
"Ebanx*spotify";"spotify"
"Academia Corpo E M03/06";"academia"
"Ph5 Fitness -ct Ar03/03";"academia"
"Academia Corpo E M04/06";"academia"
"Academia Corpo E Mente";"academia"
"Academia Corpo E M01/06";"academia"
"Ph5 Fitness -ct Ar01/03";"academia"
"Academia Corpo E M02/06";"academia"
"Ph5 Fitness -ct Ar02/03";"academia"
"Ph5 Fitness -ct Areira";"academia"
"Promofarma        01/02";"farmacia"
"Promofarma        02/02";"farmacia"
"Pag*campeaofarma";"farmacia"
"Romofarma";"farmacia"
"Drogaria Manoel Gaya";"farmacia"
"Rogaria Promofarma";"farmacia"
"Olibone Pneus     02/05";"carro"
"Olibone Pneus     03/05";"carro"
"Olibone Pneus     01/05";"carro"
"Centro Automotivo Agua";"carro"
"Pag*opescadorbarerest";"alimentacao"
"Ifd*ifood";"alimentacao"
"Padoca Paes E Tentacoe";"alimentacao"
"Celeiro Da Fazenda";"alimentacao"
"Rp1 Restaurante";"alimentacao"
"Mc Donalds  Zak";"alimentacao"
"Bom Filet";"alimentacao"
"Ragazzo Caetano Alvare";"alimentacao"
"Mc Donalds  Ama";"alimentacao"
"America Center Norte";"alimentacao"
"Localiza Rac Agmtr0";"aluguel_carro"
"Localiza Rac Actbf0";"aluguel_carro"
"Localiza Rac Actbf05/05";"aluguel_carro"
"Localiza Rac Actbf01/05";"aluguel_carro"
"Localiza Rac Actbf02/05";"aluguel_carro"
"Localiza Rac Actbf03/05";"aluguel_carro"
"Localiza Rac Actbf04/05";"aluguel_carro"
"Estapar Shop Center No";"estacionamento"
"Parcelamen Fatura 01/04";"cartao_parcelado"
"Parcelamen Fatura 05/05";"cartao_parcelado"
"Parcelamen Fatura 02/04";"cartao_parcelado"
"Parcelamen Fatura 03/04";"cartao_parcelado"
"Parcelamen Fatura 04/04";"cartao_parcelado"
"Ph5 Fitness -ct Are(03/03)";"academia"
"Ph5 Fitness -ct Are(02/03)";"academia"
"Estancia Da Picanha";"alimentacao"
"Churrascaria-ct Bosque";"alimentacao"
"Localiza Rac Actbf0(04/05)";"aluguel_carro"
"Localiza Rac Actbf0(03/05)";"aluguel_carro"
"Pag*supertrocadeole(03/03)";"carro"
"Rede J Amaral Auto Pos";"carro"
"Pag*supertrocadeol01/03";"carro"
"Aai    *aai*ipiranga";"carro"
"Acom Mkt Place";"americanaas"
"Acom Mkt Place    01/02";"americanaas"
"Acom Mkt Place    01/03";"americanaas"
"Acom Mkt Place    02/02";"americanaas"
"Acom Mkt Place    02/03";"americanaas"
"Acom Mkt Place    03/03";"americanaas"
"Americanas Com";"americanaas"
"Americanas Marketp01/02";"americanaas"
"Armarinhos Fernand01/03";"armarinho"
"Armarinhos Fernand02/02";"armarinho"
"Armarinhos Fernand02/03";"armarinho"
"Armarinhos Fernand03/03";"armarinho"
"Brooksfield-bfcn-f01/03";"roupa"
"Cea Scn 160";"cea"
"Cea Scn 160       02/03";"cea"
"Cea Scn 160       03/03";"cea"
"Lojao Da Vila";"utensilios"
"Lojao Do Bras";"utensilios"
"Lojao Do Bras     01/04";"utensilios"
"Lojao Do Bras     02/04";"utensilios"
"Lojao Do Bras     03/04";"utensilios"
"Lojas Americanas 0836";"americanaas"
"Lojas Americanas 0915";"americanaas"
"Lojas Renner Fl 49";"roupa"
"Lojas Renner Fl 4901/03";"roupa"
"Lojas Renner Fl 4902/03";"roupa"
"Lojas Renner Fl 4903/03";"roupa"
"Osto De Servicos Flors";"carro"
"Parc=102americanas01/02";"americanaas"
"Parc=102americanas02/02";"americanaas"
"Parc=102submarino.01/02";"submarino"
"Parc=102submarino.02/02";"submarino"
"Parc=103kalunga.co01/03";"kalunga"
"Parc=103kalunga.co02/03";"kalunga"
"Parc=103kalunga.com";"kalunga"
"Parc=104americanas.com";"americanaas"
"Parc=104americanas02/04";"americanaas"
"Parc=104americanas03/04";"americanaas"
"Parc=104americanas04/04";"americanaas"
"Submarino Mktplace";"submarino"
"Submarino Mktplace01/02";"submarino"
"Submarino Mktplace01/03";"submarino"
"Submarino Mktplace02/02";"submarino"
"Submarino Mktplace02/03";"submarino"
"Submarino Mktplace03/03";"submarino"
"Americanas  *amer  (03/03)";"americanaas"
"Americanas  *amer  (02/03)";"americanaas"
"Americanas  *amer 01/03";"americanaas"
"Localiza Rac Actbf01/05";"localiza"
"Localiza Rac Agmtr0";"localiza"
"Sonda Jacana       (02/02)";"mercado"
"Trimais Ii         (02/02)";"mercado"
"Microsoft*microsoft 365";"microsoft"
"Parcelamen Fatura 05/05";"parcela"
"Parcelamen Fatura 01/04";"parcela"
"Parcelamen Fatura  (04/04)";"parcela"
"Parcelamen Fatura 03/04";"parcela"
"Parcelamen Fatura 02/04";"parcela"
"Parc=103thermas Dos(03/03)";"passeio"
"Torra Torra        (03/03)";"roupa"
"Pag*supertrocadeol03/03";"carro"
"Lider Agua Fria";"agua"
"Deposito Doces Mal03/03";"alimentacao"
"Confeccoes Caedu  02/03";"roupa"
"Hna*oboticario    02/02";"perfume"
"Mercearia Ch-ct S";"utensilios"
"3633 - Grsa Empada Bra";"alimentacao"
"Bacio Di Latte";"alimentacao"
"Dia Brasil 350";"farmacia"
"Tokio Marine*auto01d12";"carro"
"Scribd Inc";"livro"
"Bauducco          01/05";"alimentacao"
"Pag*leroymerlin (03/03)";"leroy"
"Frigomundo Comercio De";"frango"
"Crema Coffee";"alimentacao"
"Ebw*spotify";"spotify"
"Panetteria Delicias Do";"alimentacao"
"Confeccoes Caedu  03/03";"roupa"
"Shopping Tucuruvi 2";"estacionamento"
"Deposito Doces Mal01/03";"alimentacao"
"Servicos Automotivos R";"carro"
"Kfs Comercio De Chocol";"alimentacao"
"Med Supermercado Ltda";"mercado"
"Dona Ju Refeicoes";"alimentacao"
"Deposito Doces Malu";"alimentacao"
"Deposito Doces Mal02/03";"alimentacao"
"Habanero";"alimentacao"
"Pag*mlcroupasintim01/03";"roupa"
"Roland Garros Cosm01/02";"perfurmaria"
"Confeccoes Caedu  01/03";"roupa"
"Hna*oboticario    01/02";"perfume"
"Riachuelo 100     03/03";"roupa"
"Bauducco          02/05";"alimentacao"
"C C Manoel Gaya";"utensilios"
"Livraria Da Vila Ltda";"livro"
"Laticinios Paulistano";"alimentacao"
"R C P Farmacia Ltda";"farmacia"
"Loucademia De Cerveja";"alimentacao"
"Restaurante Nova Cigan";"alimentacao"
"Ame Digital       01/12";"americana"
"Riachuelo 100     01/03";"roupa"
"Carrefour Ecn";"mercado"
"Drogasil 1317";"farmacia"
"Ri Happy Brinquedos Sa";"brinquedo"
"Identita Odontologia";"dentista"
"Ame Digital       01/10";"americana"
"Pag*algodaodoce";"alimentacao"
"Embalagens Raya   01/03";"embalagens"
"Arizona Paes-ct";"padaria"
"Lojas Americanas 0836";"americana"
"Acom Mkt Place    01/02";"americana"
"Americanas Com";"americana"
"Ebanx Spotify";"spotify"
"Armarinhos Fernand03/03";"armarinhos"
"Acom Mkt Place    03/03";"americana"
"Submarino Mktplace02/02";"americana"
"Acom Mkt Place    02/03";"americana"
"Submarino Mktplace02/03";"americana"
"Parc=102americanas02/02";"americana"
"Parc=102submarino.02/02";"americana"
"Acom Mkt Place    02/02";"americana"
"Parc=102americanas01/02";"kalunga"
"Kaius Calcados Ltda\"";"roupa"
"Submarino Mktplace01/02";"americana"
"Submarino Mktplace";"americana"
"Americanas Marketp01/02";"americana"
"Submarino Mktplace03/03";"americana"
"Microsoft*store";"microsoft"
"Riachuelo 100     01/02";"roupa"
"Sodimac";"utensilios"
"Centro Automotivo Treb";"carro"
"B.s. Moda E Esporte L";"roupa"
"Magalu*listasmagal01/02";"magalu"
"Academia Corpo E M06/06";"academia"
"Olibone Pneus     05/05";"carro"
"Magalu*listasmagal02/02";"magalu"
"Parc=104americanas.com";"americana"
"Armarinhos Fernand02/02";"armarinhos"
"Cea Scn 160       01/03";"roupa"
"Prego C Norte 140 01/02";"roupa"
"Lojas Americanas 0915";"americana"
"Microsoft*suz419daoemre";"microsoft"
"Confeccoes Caedu";"roupa"
"Dl*googlegooglep";"google"
"Espaco Curumim Kids";"lazer"
"Ame Digital       01/02";"americana"
"Acai Nova Bar";"alimentacao"
"Kalunga Shop-ct  T01/02";"kalunga"
"Americanas  *amer 01/02";"americana"
"Armarinhos Fernand01/02";"armarinhos"
"Andorinha Hiper";"mercado"
"Parc=104americanas03/04";"americana"
"Prego C Norte 140 02/02";"roupa"
"Google Play";"google"
"Armarinhos Fernand01/03";"armarinhos"
"Acom Mkt Place    01/03";"americana"
"Ame Digital       02/02";"americana"
"Kalunga Shop-ct  T02/02";"kalunga"
"Americanas  *amer 02/02";"americana"
"Kalunga Nova Cantareir";"kalunga"
"Habibs      -ct";"alimentacao"
"Habib S";"alimentacao"
"Parc=104americanas04/04";"americana"
"Armarinhos Fernand02/03";"armarinhos"
"Acom Mkt Place";"americana"
"Submarino Mktplace01/03";"americana"
"Parc=102submarino.01/02";"americana"
"Michelle Perfumes";"perfume"
"Parc=103kalunga.co03/03";"kalunga"
"Parc=102americanas.com";"americana"
"Americanas Marketp02/02";"americana"
"Shopping Center Norte";"estacionamento"
"Ragazzo";"alimentacao"
"Playland - Eldorado";"lazer"
"Cinemark Brasil";"lazer"
"Shopping Tucuruvi";"estacionamento"
"Academia Corpo E M05/06";"academia"
"Lojao Do Bras     04/04";"utensilios"
"Olibone Pneus     04/05";"carro"
"Clube De Campo Associ";"lazer"
"Americanas  *amer 01/03";"americana"
"Americanas  *amer 02/03";"americana"
"Americanas  *amer 03/03";"americana"
"Pag*mcamicado2";"camicado"
"Armarinhos Fernando";"armarinhos"
"Kalunga Shopping T02/02";"kalunga"
"Kalunga Shopping T01/02";"kalunga"
"Ri Happy Brinquedo03/03";"brinquedo"
"Ri Happy Brinquedo01/03";"brinquedo"
"Ri Happy Brinquedo02/03";"brinquedo"
"Pag*mcamicado2    02/02";"camicado"
"Pag*mcamicado2    01/02";"camicado"
"Ame Digital       03/04";"americana"
"Ame Digital       01/04";"americana"
"Ame Digital       02/04";"americana"
"Atacadao 060 As";"mercado"
"CXE 000331 SAQUE 01/10";"saque"
"PIX TRANSF  Mayara 03/10";"pipoca"
"PIX TRANSF  IMW 3 R03/10";"salgado"
"TAR PACOTE ITAU   SET/22";"banco"
"PIX QRS Mayara Regi04/10";"pipoca"
"JUROS LIMITE DA CONTA";"juros"
"PIX TRANSF  APM CEI05/10";"creche"
"DA  CLARO MOVEL 46827990";"claro"
"PIX TRANSF  Suzane 06/10";"cha_bebe"
"PIX TRANSF  Mayara 06/10";"pipoca"
"PIX TRANSF  EDMILSO06/10";"churros"
"PIX TRANSF  IMW R 310/10";"seminario"
"PIX TRANSF  LUCIANO10/10";"alimentacao"
"ELECTRONROSE FEIRAN";"feira"
"PIX TRANSF  Bruna R11/10";"social"
"PIX TRANSF  IMW 3 R11/10";"salgado"
"PIX TRANSF  EDMILSO11/10";"churros"
"ELECTRONVILA GALVAO";"social"
"ELECTRONGIRAFFAS BL";"alimentacao"
"PIX TRANSF  Mayara 13/10";"pipoca"
"PIX TRANSF  IMW 3 R17/10";"salgado"
"PIX TRANSF  EDMILSO17/10";"churros"
"CXE 000265 SAQUE 22/10";"saque"
"PIX TRANSF  Mayara 25/10";"pipoca"
"PIX TRANSF  EDMILSO25/10";"churros"
"SAQUE 24H 300425717";"saque"
"CXE 000190 SAQUE 29/10";"saque"
"PIX TRANSF ADEILDO15/01";"pix"
"ELECTRONPAG*NMNETO";"pessoa"
"PIX TRANSF Chrysti19/03";"pix"
"PIX QRS Alexandro S25/03";"pix"
"PIX TRANSF BRUNA R02/04";"pix"
"PIX TRANSF PERSIAN12/04";"pix"
"ELECTRONPAG*Jesanac";"pessoa"
"PIX TRANSF JOSE FE07/05";"pix"
"ELECTRONPAG*Evandro";"pessoa"
"PIX QRS Adyen do Br25/05";"pix"
"ELECTRONPAG*Maneiro";"pessoa"
"PIX TRANSF SILVIA 02/06";"pix"
"ELECTRONPAG*Lindalv";"pessoa"
"ELECTRONPAG*AllanDi";"pessoa"
"ELECTRONRS AVILA";"mercado"
"ELECTRONPAG*Robinso";"pessoa"
"ELECTRONPAG*NiwsonY";"pessoa"
"PIX QRS SAFETOPAY I04/07";"pix"
"PIX TRANSF LEANDRO04/07";"pix"
"ELECTRONPAG*RealNov";"pessoa"
"ELECTRONPAG*SANDROC";"feira-legumes"
"PIX TRANSF erlonds08/07";"cabelereiro"
"ELECTRONPAG*Pilotin";"pessoa"
"ELECTRONPAG*BoomEve";"pessoa"
"ELECTRONPAG*BoomEve_2";"pessoa"
"PIX TRANSF erlonds25/07";"cabelereiro"
"PIX QRS SAFETOPAY I29/07";"pix"
"PIX QRS PHILIP VINI29/07";"pix"
"TAR PACOTE ITAU JUL/22";"banco"
"PIX QRS ANTONIO FRA05/08";"pix"
"PIX QRS CLARO05/08";"pix"
"PIX TRANSF IMW R 308/08";"seminario"
"CXE 000471 SAQUE 06/08";"saque"
"PIX QRS CASA LOTERI12/08";"pix"
"PIX TRANSF IMW 3 R15/08";"oferta"
"CXE 000372 SAQUE 13/08";"saque"
"PIX TRANSF RONIVON17/08";"pix"
"ELECTRONPAG*Edmilso";"pessoa"
"PIX TRANSF Lays Ro19/08";"pix"
"PIX TRANSF SAMUEL 20/08";"pix"
"PIX TRANSF Gustavo20/08";"pix"
"ELECTRONPAG*HOTDOGD";"pessoa"
"PIX TRANSF EDMILSO22/08";"churross"
"PIX TRANSF Pedro H20/08";"pix"
"ELECTRONPAG*RaposaD";"pessoa"
"PIX TRANSF LUCIANO23/08";"alimentacao"
"PIX TRANSF EDMILSO23/08";"churross"
"PIX TRANSF LUCIANO26/08";"alimentacao"
"PIX TRANSF Ademar 27/08";"pix"
"PIX TRANSF RONIVON29/08";"pix"
"PIX TRANSF JANAINA31/08";"alimentacao"
"PIX TRANSF RONIVON31/08";"pix"
"PIX TRANSF LUCIANO01/09";"alimentacao"
"PIX TRANSF EDMILSO01/09";"churross"
"PIX TRANSF IMW 3 R04/09";"oferta"
"PIX QRS IFOOD.COM A04/09";"alimentacao"
"PIX TRANSF RONIVON05/09";"pix"
"PIX TRANSF JANAINA07/09";"alimentacao"
"PIX TRANSF REAL BR09/09";"pix"
"PIX TRANSF LUCIANO09/09";"alimentacao"
"PIX TRANSF Mayara 09/09";"pipoca"
"PIX TRANSF EDMILSO09/09";"churross"
"CXE 000174 SAQUE 10/09";"saque"
"CXE 000661 SAQUE 10/09";"saque"
"ELECTRONPAG*Slbenfi";"pessoa"
"PIX TRANSF ALINE M10/09";"pix"
"PIX TRANSF IMW R 313/09";"seminario"
"PIX TRANSF BRUNO I14/09";"pix"
"PIX TRANSF Mayara 14/09";"pipoca"
"PIX TRANSF EDMILSO14/09";"churross"
"PIX TRANSF erlonds16/09";"cabelereiro"
"PIX QRS On Tecnolog16/09";"pix"
"PIX TRANSF EDMILSO16/09";"churross"
"CXE 000224 SAQUE 17/09";"saque"
"PIX QRS SAFE2PAY19/09";"pix"
"PIX TRANSF LUCIANO19/09";"alimentacao"
