"de_para";"valor"
"Olibone Pneus     03/06";"carro"
"Olibone Pneus";"carro"
"Olibone Pneus     02/06";"carro"
"Tokiomarine*auto03d12";"carro"
"Posto Preside";"carro"
"Produtos Globo";"globo"
"Pag*leroymerlin   01/03";"leroy"
"Pag*leroymerlin";"leroy"
"Pag*mlcroupasintim02/03";"roupa"
"Torra Torra       01/03";"roupa"
"Disney Plus";"disney"
"Dl*google Google";"google"
"Pag*raizesmateriais";"compras"
"Pag*allandia-ct";"compras"
"Villa Nostra";"compras"
"Legado Parri-ct";"compras"
"Lider Agua Fria";"compras"
"Deposito Doces Mal03/03";"compras"
"Mp*digitalsouza   02/02";"compras"
"Roland Garros Cosm02/02";"compras"
"Confeccoes Caedu  02/03";"compras"
"Hna*oboticario    02/02";"compras"
"Fernanda Goncalves Si";"compras"
"Mercearia Ch-ct S";"compras"
"A Preferida Presentes";"compras"
"Yingxue Ma Bijuteria";"compras"
"3633 - Grsa Empada Bra";"compras"
"Bacio Di Latte";"compras"
"Vro - Realid-ct Virtua";"compras"
"Roasted Pota-ct  Suco";"compras"
"Axe Brasil";"compras"
"Rufplast    -ct";"compras"
"Novo Tucuruvi";"compras"
"Feirante Jesus";"compras"
"Pag*paulorevelesmarti";"compras"
"Pag*dirceyur-ct";"compras"
"Perfeita Pai-ct Docari";"compras"
"Kalunga Nova-ct Tareir";"kalunga"
"Trimais Ii        01/02";"mercado"
"Trimais Ii";"mercado"
"Gps E Jisv Supermerca";"mercado"
"Sonda Supermercados";"mercado"
"Sonda Supermercado02/02";"mercado"
"Trimais Ii        02/02";"mercado"
"Arizona Paes";"padaria"
"Ebanx       *spotify";"spotify"
"Red Fitness Ourin 06/12";"academia"
"Academia Cor-ct   02/02";"academia"
"Academia Corpo E  01/02";"academia"
"King Star Colchoes01/10";"colch�o"
"Promofarma        03/03";"farmacia"
"Drogaria Promofarma";"farmacia"
"Raia 47";"farmacia"
"Ppro   *microsoft";"microsoft"
"Lojas Americanas 801/03";"americanas"
"Ame Digital       07/12";"americanas"
"Ame Digital       07/10";"americanas"
"Ame Digital       02/02";"americanas"
"Restaurante D Laura L""";"alimentacao"
"Lachonote Castelo Novo";"alimentacao"
"Burger King Fs Sp Rua";"alimentacao"
"Localiza Rac Actie01/03";"aluguel_carro"
"Microsoft*microsoft 365";"app"
"Amazonprimebr";"app"
"Auto Socorro-ct Ia04/06";"carro"
"Olibone Pneus     04/06";"carro"
"Pag*leroymerlin   02/03";"leroy"
"Tip Top Eldorado";"roupa"
"Torra Torra";"roupa"
"Torra Torra       02/03";"roupa"
"Imw 3 R Vila Medeiros";"igreja"
"Pag*antonial-ct Eidef";"compras"
"Pag*ameliakatsuenakam";"compras"
"X 5 Ltda";"compras"
"Casa Das Formas";"compras"
"Piccoli E Silva Comer";"compras"
"T.mikami    -ct   01/04";"compras"
"Frigomundo Comercio De";"compras"
"Rs Avila";"mercado"
"Perfumaria Toque Suave";"compras"
"Pb Administradora De E";"compras"
"Mxt Alimentos Ltda";"compras"
"Pag*jeronimotatuape";"compras"
"Republique D-ct Fe";"compras"
"Real Novo Mundo";"compras"
"Mp*shellbox";"compras"
"Panetteria Delicias Do";"compras"
"Pag*santalim-ct";"compras"
"Pag*mlcroupasintim03/03";"compras"
"Confeccoes Caedu  03/03";"compras"
"Mini Extra 5041 Pca N";"mercado"
"Supermercado Precito";"mercado"
"Pag*padariacharmosa";"padaria"
"Pag*padariac-ct Osa";"padaria"
"Paes E Doces-ct Rmosa";"padaria"
"Red Fitness Ourin 07/12";"academia"
"Academia Corpo E  02/02";"academia"
"King Star Colchoes02/10";"colch�o"
"Drogaria Sao Paulo 194";"farmacia"
"Hsh*farmacom";"farmacia"
"Auto Servico-ct Lly L";"servi�o"
"Lojas Americanas 802/03";"americanas"
"Ame Digital       08/12";"americanas"
"Ame Digital       08/10";"americanas"
"Americanas";"americanas"
"Americanas        01/02";"americanas"
"Lanchonete C-ct Lo No";"alimentacao"
"Monster Food-ct Ck";"alimentacao"
"Starbucks Br-ct  Comer";"alimentacao"
"Coco Bambu Conceito Jk";"alimentacao"
"Localiza Rac Actie02/03";"aluguel_carro"
"Estac Shop Eldorado";"estacionamento"
"Red Fitness Ourin  (12/12)";"academia"
"KING STAR COLCHOES (07/10)";"colch�o"
"Ame Digital        (12/12)";"americanas"
"Red Fitness Ourin  (11/12)";"academia"
"KING STAR COLCHOES (06/10)";"colch�o"
"Auto Posto Lutaif 03/03";"carro"
"Posto Florida";"carro"
"Auto Socorro-ct Ia01/06";"carro"
"Olibone Pneus     01/06";"carro"
"Posto De Servicos Flor";"carro"
"Pag*frigotti";"frango"
"Feirante";"compras"
"Embalagens Raya";"compras"
"Papelaria E Bazar Tuc";"compras"
"Pag*eugeniajosefadasi";"compras"
"Pag*safariev-ct S";"compras"
"Bd          -ct";"compras"
"Shopping Tucuruvi 2";"compras"
"Gemmisan Comercio De S";"compras"
"Deposito Doces Mal01/03";"compras"
"Servicos Automotivos R";"compras"
"Pag*alexpere-ct";"compras"
"Quitanda E Mercearia Pr";"compras"
"Raimundo Martins De Car";"compras"
"Filial Drive Dumont Vi";"compras"
"Antonio Izidio";"compras"
"Pag*comerciodefrutas";"compras"
"Kfs Comercio De Chocol";"compras"
"Med Supermercado Ltda";"compras"
"Sun Marina";"compras"
"Levi Da Silva Me";"compras"
"Delucca Comercio De A";"compras"
"Dona Ju Refeicoes";"compras"
"La Floresta -ct";"compras"
"Pag*evandrogomesde";"compras"
"Scribd Inc";"compras"
"Supermercado Bergamini";"mercado"
"Padaria E Confeitaria";"padaria"
"Red Fitness Ourin 04/12";"academia"
"Academia Corpo E  03/03";"academia"
"Promofarma";"farmacia"
"Promofarma        01/03";"farmacia"
"Mercadocar";"carro"
"Microsoft_subscription";"microsoft"
"Ame Digital       05/12";"americanas"
"Ame Digital       05/10";"americanas"
"Lojas Americanas 753";"americanas"
"Lojas Americanas 834";"americanas"
"Bauducco          04/05";"alimentacao"
"Cf Restaurante";"alimentacao"
"Dl     *google Google";"google"
"Zoom.us 888-799-9666";"zoom"
"Sodimac";"obra"
"Auto Socorro-ct Iar Ei";"carro"
"Olibone Pneus";"carro"
"Auto Socorro-ct Ia02/06";"carro"
"Olibone Pneus     02/06";"carro"
"Tokiomarine*auto02d12";"carro"
"Auto Posto L-ct F";"carro"
"Auto Posto Tremembe";"carro"
"Berlinf*m S -ct";"carro"
"Av Guapira";"lazer"
"Amazon.com.br Digital A";"amazon"
"Dl     *google Cloud N";"google"
"Deposito Doces Malu";"compras"
"Deposito Doces Mal02/03";"compras"
"Av Zachi Narchi";"compras"
"Habanero";"compras"
"Pag*andersonlisboade";"compras"
"Pag*rositadefreitasca";"compras"
"Pag*mlcroupasintim01/03";"compras"
"Mp*digitalsouza   01/02";"compras"
"Arbys      -ct""";"compras"
"Reinaldo De Souza Borg";"compras"
"Roland Garros Cosm01/02";"compras"
"Levi Da Silv-ct";"compras"
"Mp *cantina";"compras"
"Pag*ferdinandadealmei";"compras"
"Marco Antonio Ribeiro";"compras"
"99app*99app";"compras"
"Skala Parkin-ct Tacion";"compras"
"Confeccoes Caedu  01/03";"compras"
"Dayane Keller Rodrigues";"compras"
"Pag*josejoao-ct Ma";"compras"
"Pag*aldaafif-ct Ellaa";"compras"
"Mp*sampaingresso";"compras"
"Delight     -ct";"compras"
"Hna*oboticario    01/02";"compras"
"DIF";"compras"
"Sonda Supermercado01/02";"mercado"
"Red Fitness Ourin 05/12";"academia"
"Sua Academia";"academia"
"Academia Cor-ct   01/02";"academia"
"Promofarma        02/03";"farmacia"
"Drogaria Sao Carlos";"farmacia"
"Pag*drogariamoller";"farmacia"
"Ame Digital       06/12";"americanas"
"Ame Digital       06/10";"americanas"
"Ame Digital       01/02";"americanas"
"Bauducco          05/05";"alimentacao"
"Meu Chapa Ba-ct Grill";"alimentacao"
"Ifood       *ifood";"alimentacao"
"Rede Papa";"carro"
"Auto Posto Lutaif 01/03";"carro"
"Playland - Center 01/02";"lazer"
"Lojas Renner Fl 1302/03";"roupa"
"Lojas Renner Fl 133";"roupa"
"Torra Torra -ct   02/03";"roupa"
"Cea Scn 160       02/03";"roupa"
"Cea Scn 160";"roupa"
"Dl*googlegoogles";"google"
"Riachuelo 100     03/03";"compras"
"Embalagens Raya   03/03";"compras"
"Bauducco          02/05";"compras"
"C C Manoel Gaya   02/03";"compras"
"Estantevirt       02/02";"compras"
"C C Manoel Gaya";"compras"
"M A Koch Lava Rapido";"compras"
"F Erica Da Silva Pizz";"compras"
"Pag*susanamlneveskelm";"compras"
"Livraria Da Vila Ltda";"compras"
"Ponto Santa Cruz Comer";"compras"
"Emporio Raga 2";"compras"
"Laticinios Paulistano";"compras"
"Pag*bardomane";"compras"
"Dia Brasil 350";"compras"
"Caetano Alvares Point";"compras"
"Pag*hugoribeirosantos";"compras"
"Pag*mariajoseni";"compras"
"Pag*dirceyuriko";"compras"
"R C P Farmacia Ltda";"compras"
"Fazarte Confeccoes01/02";"compras"
"Nova Bruxellas";"compras"
"Carpark";"compras"
"Casa De Carnes Palmas";"compras"
"Loucademia De Cerveja";"compras"
"Restaurante Nova Cigan";"compras"
"Vammac Esportes Ltda.";"compras"
"IOF - transa��o internacional";"Taxa_banco"
"Grao Espresso Trimais";"mercado"
"Red Fitness Ourin 02/12";"academia"
"Academia Corpo E  01/03";"academia"
"Drogaria Promofarm02/02";"farmacia"
"Ame Digital       03/12";"americanas"
"Ame Digital       03/10";"americanas"
"Magazine Tor-ct Or02/03";"utensilios"
"Magazine Tor-ct Orra";"utensilios"
"Restaurante E Lanchone";"alimentacao"
"Acai Alemar Norte Ltd";"alimentacao"
"V A Espeto E Comercio";"alimentacao"
"Empada Cafe E L Me";"alimentacao"
"Cea Scn 160       01/03";"cea"
"Berlinf*m S H";"carro"
"Posto M G M E";"carro"
"Ingresso.com";"lazer"
"Lojas Renner Fl 1301/03";"roupa"
"Torra Torra -ct   01/03";"roupa"
"Embalagens Raya   02/03";"compras"
"Caetano Alva-ct Point";"compras"
"Estantevirt";"compras"
"Pag*alpenbar-ct";"compras"
"Antonio Carlos Barbos";"compras"
"Marcos Tonou-ct";"compras"
"B La Milette-ct S";"compras"
"Spa39 Aguafria Sp";"compras"
"Papelaria E Bazar Guap";"compras"
"Tucuruvi Ent-ct Niment";"compras"
"Pag*ea9fashion";"compras"
"Bauducco          01/05";"compras"
"Pag*kipastel-ct";"compras"
"Crmodas     -ct";"compras"
"Mp *jatfruit";"compras"
"Sergio Eizo -ct Mine";"compras"
"Pag*luiscarlos";"compras"
"Pag*vanuchicomerciode";"compras"
"Pag*sueliapfemoro";"compras"
"Pag*carlagomesdasilva";"compras"
"Pag*juliocesardossant";"compras"
"Pag*glamberttinni";"compras"
"C C Manoel Gaya   01/03";"compras"
"Estantevirt       01/02";"compras"
"Pag*leaozinh-ct Sbaby";"compras"
"Reh&mah     -ct";"compras"
"Pag*galasso";"compras"
"Pag*kempssednystallon";"compras"
"Pag*larissar-ct La";"compras"
"Pag*edilezaa-ct Cida";"compras"
"Pag*rozalinarodrigues";"compras"
"Pag*miekonakamura";"compras"
"Vildete Velo-ct";"compras"
"Pag*jhonatan-ct N";"compras"
"Red Fitness Ourin 01/12";"academia"
"Conectcar   *conectcar";"conectar"
"Drogaria Promofarm01/02";"farmacia"
"Promofarma  -ct";"farmacia"
"Riachuelo 100     02/03";"riachuelo"
"Ame Digital       04/04";"americanas"
"Ame Digital       02/12";"americanas"
"Ame Digital       02/10";"americanas"
"Magazine Tor-ct Or01/03";"utensilios"
"Meu Chapa Bar & Grill";"alimentacao"
"Pasteis Sonoda";"alimentacao"
"Ame Digital        (11/12)";"americanas"
"Red Fitness Ourin  (10/12)";"academia"
"KING STAR COLCHOES (05/10)";"colch�o"
"T.mikami    -ct    (03/04)";"compras"
"Pag*leroymerlin (03/03)";"compras"
"Rei Do Oleo       01/02";"oleo"
"Uber        *trip";"uber"
"Tokiomarine*auto05d12";"carro"
"Posto Servco-ct Nca";"carro"
"Auto Socorro-ct Ia05/06";"carro"
"Olibone Pneus     05/06";"carro"
"Pag*leroymerlin   03/03";"leroy"
"Torra Torra       03/03";"roupa"
"Amazon.com.br Digital P";"amazon"
"T.mikami    -ct   02/04";"compras"
"Pag*allandiasdos";"compras"
"Pag*flordegoias";"compras"
"Crema Coffee";"compras"
"Pag*lillidee-ct Rose";"compras"
"Pag*gardensb-ct T";"compras"
"Magia Comerc-ct Mbalage";"compras"
"Atacadao 060-ct";"compras"
"Esplanada M Veis";"compras"
"Siberiano         01/02";"compras"
"Ebw*spotify";"compras"
"Red Fitness Ourin 08/12";"academia"
"King Star Colchoes03/10";"colch�o"
"Lojas Americanas 803/03";"americanas"
"Ame Digital       09/12";"americanas"
"Ame Digital       09/10";"americanas"
"Americanas        02/02";"americanas"
"Parc=102americanas01/02";"americanas"
"Localiza Rac Actie03/03";"aluguel_carro"
"Uber* Trip";"uber"
"Auto Posto Lutaif 02/03";"carro"
"Posto Jacana";"carro"
"Playland - Center 02/02";"lazer"
"Sesc Interlagos";"lazer"
"Lojas Renner Fl 1303/03";"roupa"
"Torra Torra -ct   03/03";"roupa"
"Cea Scn 160       03/03";"roupa"
"Amazon Video";"amazon"
"Google Storage";"google"
"C C Manoel Gaya   03/03";"compras"
"Fazarte Confeccoes02/02";"compras"
"Rodolfo Gaspar Pinto";"compras"
"Arbys""";"compras"
"Chita Verduras";"compras"
"Spay*a P Tucuruvi";"compras"
"Adriano Chinem";"compras"
"Feirante    -ct";"compras"
"Pag*rayzzama-ct La";"compras"
"Halak Modas Ltda";"compras"
"Ma Rongduan -ct Terias";"compras"
"Yingxue Ma Bijuterias";"compras"
"Tokio Marine*auto01d12";"compras"
"M A Koch Lav-ct Pido";"compras"
"Carrefour Xmt";"mercado"
"Ourinhos";"mercado"
"Panificadora Valparaiz";"padaria"
"Red Fitness Ourin 03/12";"academia"
"Academia Corpo E  02/03";"academia"
"Drogasil 1934";"farmacia"
"Ame Digital       04/12";"americanas"
"Ame Digital       04/10";"americanas"
"Magazine Tor-ct Or03/03";"utensilios"
"Bauducco          03/05";"alimentacao"
"Rei Do Oleo (02/02)";"oleo"
"Auto Socorro-ct Iar(06/06)";"carro"
"Olibone Pneus      (06/06)";"carro"
"Siberiano (02/02)";"compras"
"Red Fitness Ourin  (09/12)";"academia"
"King Star Colchoes (04/10)";"colch�o"
"Ame Digital        (10/12)";"americanas"
"Ame Digital        (10/10)";"americanas"
"Parc=102americanas02/02";"americanas"
"Uber *trip Help.uber.co";"uber"
"Uber Jump Help.uber.com";"uber"
"Uber * Pending";"uber"
"Zoom.us 888-799-9666";"zoom"
"iof";"Taxa_banco"
"Posto Vila Mazzei";"carro"
"Aai         *ipiranga";"carro"
"Rodoposto Rubi Ltda";"carro"
"Shell";"carro"
"Posto De Serv Dieselma";"carro"
"Aai         *aai*";"carro"
"Posto Agulhas Negras";"carro"
"Auto Posto Amalfi Ltda";"carro"
"Uto Posto Edu        S";"carro"
"Posto De Servicos Avan";"carro"
"Posto Amma";"carro"
"Pag*supertrocadeol02/03";"carro"
"Playland - Center Nort";"lazer"
"Riachuelo 100     02/02";"roupa"
"Brooksfield-bfcn-f02/03";"roupa"
"Brooksfield-bfcn-f03/03";"roupa"
"Brooksfield-bfcn-fl.10";"roupa"
"Amazonprimebr";"amazon"
"The Walt Disney Company";"disney"
"Dl     *google Google";"google"
"Dl     *google Cloud_0";"google"
"Scam Digital";"compras"
"Ame Digital       01/12";"compras"
"Riachuelo 100     01/03";"compras"
"Sugar Cubes Comercio D";"compras"
"Carrefour Ecn";"compras"
"Drogasil 1317";"compras"
"M G M E Magalhaes Ltda";"compras"
"Ri Happy Brinquedos Sa";"compras"
"Identita Odontologia";"compras"
"Ame Digital       01/10";"compras"
"Pag*algodaodoce";"compras"
"Clube De Cam-ct Ssoci";"compras"
"Embalagens Raya   01/03";"compras"
"Arizona Paes-ct";"compras"
"Lojas Americanas 0836";"compras"
"Acom Mkt Place    01/02";"compras"
"Americanas Com";"compras"
"Antonio Sergio Lib01/02";"compras"
"Parc=103kalunga.co01/03";"compras"
"Ebanx Spotify";"compras"
"Rufplast";"compras"
"Caps Edgar Faco";"compras"
"Fernanda Goncalves Sil";"compras"
"Armarinhos Fernand03/03";"compras"
"Acom Mkt Place    03/03";"compras"
"Lojas Renner Fl 4902/03";"compras"
"Lojao Do Bras     02/04";"compras"
"Lojao Do Bras";"compras"
"Submarino Mktplace02/02";"compras"
"Acom Mkt Place    02/03";"compras"
"Submarino Mktplace02/03";"compras"
"Parc=102americanas02/02";"compras"
"Parc=102submarino.02/02";"compras"
"Acom Mkt Place    02/02";"compras"
"Antonio Sergio Lib02/02";"compras"
"Parc=103kalunga.co02/03";"compras"
"Parc=103kalunga.com";"compras"
"Parc=102americanas01/02";"compras"
"Rossio";"compras"
"Camila E Carina Presen";"compras"
"Kaius Calcados Ltda""";"compras"
"Lojao Da Vila";"compras"
"Submarino Mktplace01/02";"compras"
"Submarino Mktplace";"compras"
"Bazar Hirata";"compras"
"Pag*wklbombo-ct E";"compras"
"Americanas Marketp01/02";"compras"
"Lojas Renner Fl 4903/03";"compras"
"Lojao Do Bras     03/04";"compras"
"Submarino Mktplace03/03";"compras"
"Torra Torra       03/03";"compras"
"Rmsjoias Eireli   02/02";"compras"
"Microsoft*store";"compras"
"Pinhal Conveniencia";"compras"
"Riachuelo 100     01/02";"compras"
"Zuquim Plaza Hotel Ltd";"compras"
"Sodimac";"compras"
"Centro Automotivo Treb";"compras"
"Ebanx       *spotify";"compras"
"B.s. Moda E Esporte L";"compras"
"Magalu*listasmagal01/02";"compras"
"Academia Corpo E M06/06";"compras"
"Olibone Pneus     05/05";"compras"
"Magalu*listasmagal02/02";"compras"
"Pag*julianacristina";"compras"
"Estancia Da Picanha";"compras"
"Churrascaria-ct Bosque";"compras"
"Rede J Amaral Auto Pos";"compras"
"Mp *rm";"compras"
"Aai    *aai*ipiranga";"compras"
"Parc=112gol Qnlrrg12/12";"compras"
"Parc=104americanas.com";"compras"
"Armarinhos Fernand02/02";"compras"
"Diego Gabriel Martins";"compras"
"Magic Games Empreendim";"compras"
"Sumup*michelle Perf";"compras"
"Lojas Renner Fl 4901/03";"compras"
"Emporio Zucchini";"compras"
"Brooksfield-bfcn-f01/03";"compras"
"Banca Do Pacheco";"compras"
"Cea Scn 160       01/03";"compras"
"Prego C Norte 140 01/02";"compras"
"Lojas Americanas 0915";"compras"
"Microsoft*suz419daoemre";"compras"
"Emporio Auriun";"compras"
"Confeccoes Caedu";"compras"
"Dl*googlegooglep";"compras"
"Pag*pgsalcultural";"compras"
"Espaco Curumim Kids";"compras"
"Ame Digital       01/02";"compras"
"Acai Nova Bar";"compras"
"Kalunga Shop-ct  T01/02";"compras"
"Americanas  *amer 01/02";"compras"
"Armarinhos Fernand01/02";"compras"
"Andorinha Hiper";"compras"
"Parc=104americanas03/04";"compras"
"Prego C Norte 140 02/02";"compras"
"Du Morbaii";"compras"
"Google Play";"compras"
"Osto De Servicos Flors";"compras"
"Armarinhos Fernand01/03";"compras"
"Acom Mkt Place    01/03";"compras"
"Ame Digital       02/02";"compras"
"Kalunga Shop-ct  T02/02";"compras"
"Americanas  *amer 02/02";"compras"
"Kalunga Nova Cantareir";"compras"
"Bd";"compras"
"Top 25 Bijuteria Ltda";"compras"
"Mundo Encant-ct";"compras"
"Cpq - Pq. Ib-ct Uera";"compras"
"Altitude Moe-ct";"compras"
"Bandeirantes";"compras"
"Av Guapira";"compras"
"Eco Lavare";"compras"
"M. Alexandrino Ltda";"compras"
"Habibs      -ct";"compras"
"Filial Drive-ct Ont Vi";"compras"
"Habib S";"compras"
"Casa Grande Convenienc";"compras"
"Parc=104americanas04/04";"compras"
"Armarinhos Fernand02/03";"compras"
"Acom Mkt Place";"compras"
"Lojao Do Bras     01/04";"compras"
"Trattoria Do Guappo";"compras"
"Fhf Informatica Eireli";"compras"
"Submarino Mktplace01/03";"compras"
"Parc=102submarino.01/02";"compras"
"Michelle Perfumes";"compras"
"Parc=103kalunga.co03/03";"compras"
"Parc=102americanas.com";"compras"
"Americanas Marketp02/02";"compras"
"Rmsjoias Eireli   01/02";"compras"
"Conectcar Recargaapp";"compras"
"Cia Maritima";"compras"
"Shopping Center Norte";"compras"
"Eng Caetano Alvares";"compras"
"Pag*frigotti";"compras"
"Ragazzo";"compras"
"Pag*patriciapinheirof";"compras"
"Pag*elciomario";"compras"
"Playland - Eldorado";"compras"
"Cb Conceito Jk Comerci";"compras"
"Pag*eldorado";"compras"
"Ponto Amakha Paris Lau";"compras"
"Google Storage";"compras"
"Cinemark Brasil";"compras"
"Shopping Tucuruvi";"compras"
"Parc=112dieta E Sa09/12";"compras"
"Academia Corpo E M05/06";"compras"
"Lojao Do Bras     04/04";"compras"
"Olibone Pneus     04/05";"compras"
"Leandro Santos 3435675";"compras"
"Pag*wagnerca-ct Odos";"compras"
"Sueli Maria Da Silva";"compras"
"Nilmar Guimaraes";"compras"
"Clube De Campo Associ";"compras"
"Pag*eduardoj-ct N";"compras"
"Isabel Brito";"compras"
"Anderson Festas";"compras"
"Microsoft_subscription";"compras"
"Pag*phoenix";"compras"
"Loucademia D-ct Rveja";"compras"
"Lozano Zizza";"compras"
"Pag*balzarprime";"compras"
"Academia Corpo E  03/03";"compras"
"Academia Corpo E  01/03";"compras"
"Academia Corpo E  02/03";"compras"
"Pag*supertrocadeol01/03";"compras"
"Pag*supertrocadeol03/03";"compras"
"Parc=112dieta E Sa07/12";"compras"
"Parc=112dieta E Sa08/12";"compras"
"Parc=112dieta E Sa10/12";"compras"
"Parc=112dieta E Sa04/12";"compras"
"Parc=112dieta E Sa05/12";"compras"
"Parc=112dieta E Sa06/12";"compras"
"Americanas  *amer 01/03";"compras"
"Americanas  *amer 02/03";"compras"
"Americanas  *amer 03/03";"compras"
"Disney Plus";"compras"
"Pag*mcamicado2";"compras"
"Armarinhos Fernando";"compras"
"Lojas Renner Fl 49";"compras"
"Pag*pgsalcultural 04/04";"compras"
"Pag*pgsalcultural 01/04";"compras"
"Pag*pgsalcultural 02/04";"compras"
"Pag*pgsalcultural 03/04";"compras"
"Kalunga Shopping T02/02";"compras"
"Kalunga Shopping T01/02";"compras"
"Delight";"compras"
"Ri Happy Brinquedo03/03";"compras"
"Ri Happy Brinquedo01/03";"compras"
"Ri Happy Brinquedo02/03";"compras"
"Pag*mcamicado2    02/02";"compras"
"Pag*mcamicado2    01/02";"compras"
"Ame Digital       03/04";"compras"
"Ame Digital       01/04";"compras"
"Ame Digital       02/04";"compras"
"Parc=103thermas Do03/03";"passeio"
"Dl*googlegoogles";"compras"
"Sonda Jacana";"mercado"
"Mini Mercado Tucuruvi";"mercado"
"Sonda Jacana      01/02";"mercado"
"Supermercado Berga01/02";"mercado"
"Soneda Perfumaria";"mercado"
"Trimais Supermerca01/02";"mercado"
"Trimais Supermercados";"mercado"
"Sonda Jacana      02/02";"mercado"
"Supermercado Berga02/02";"mercado"
"Trimais Supermerca02/02";"mercado"
"Trimais Ii  -ct   02/02";"mercado"
